"COD","DESCRICAO","EAN"
"2212633","PASTA CASTANHA TAL DA CAST CHOCONUT 120G","7898955705735"
"2206072","SAND HAVAIANAS DUAL MARIN/CZ ACO 41/42  ","7909989679739"
"2206080","SAND HAVAIANAS DUAL MARIN/CZ ACO 43/44  ","7909989679746"
"2206099","SAND HAVAIANAS K FLORRES RS/RS 23/24    ","7909989702918"
"2206102","SAND HAVAIANAS K FLORRES RS/RS 25/26    ","7909989702925"
"2206110","SAND HAVAIANAS K FLORRES RS/RS 27/28    ","7909989702932"
"2206129","SAND HAVAIANAS K FLORRES RS/RS 29/30    ","7909989702949"
"2206137","SAND HAVAIANAS K FLORRES RS/RS 31/32    ","7909989702956"
"2206145","SAND HAVAIANAS K FLORRES RS/RS 33/34    ","7909989702963"
"2206153","SAND HAVAIANAS TRACK WAVES PTO 37/38    ","7909989912669"
"1119761","DESP ABRACADEIRA ACO CARB 2DCUNHA SILVAN","3000011197611"
"1119770","DESP TORNEIRA BM BALC PRATIC BC ABS1/4VN","3000011197703"
"1119788","DESP RALO INOX 10X10 CLICK FERTAK       ","3000011197888"
"2191008","BISC PIRAQUE CHOCOWAFE 100,8G           ","7896024760807"
"2191202","AMAC ROUPAS ECO VIDA SUAVE 3L           ","7898947188850"
"2191210","LAVA ROUPA LIQ ECO VIDA CLEAN LV3P2,7ML ","7898947188867"
"2191229","LAVA ROUPA LIQ ECO VIDA TROPIC LV3P2,7ML","7898947188874"
"1121170","DESP CABIDE PEQUENO CROMADO             ","3000011211706"
"1121189","DESP DOBRADICA CURVA 1210 DF2 1/2 DF62  ","3000011211898"
"2183250","CR PENT SEDA TOQUE DE SEDA 300ML        ","7891150101593"
"2183277","SAB LIQ INF JOHNSONS LAVANDA REFIL 180ML","7891010256852"
"2183285","SH INF JOHNSONS 2X1 REFIL 180ML         ","7891010257125"
"2184249","BRINQ BONECOS MILITAR BRINQ PLAY 4PCS   ","7908822601135"
"2184257","BRINQ DINOSSAUROS BRINQ PLAY 7PCS       ","7908822600800"
"2184265","BRINQ KIT COOKING BRINQ PLAY            ","7908822601128"
