"COD","DESCRICAO","EAN"
"2149850","TEMP BUCATINNI C/PIMENTA 300G           ","7898904591082"
"2149869","TEMP BUCATINNI S/PIMENTA 300G           ","7898904591075"
"2149877","TEMP BUCATINNI S/PIMENTA 1KG            ","7898904591921"
"2149885","TEMP BUCATINNI C/PIMENTA 1KG            ","7898904591938"
"2149893","MOLHO BUCATINNI BARBECUE 390G           ","7898904591525"
"1101960","DESP EIXO MANCHAO                       ","3000011019609"
"2144670","BALA GELATINAS FINI VITAM C ZERO LAR 18G","7898591452390"
"2145090","CHOCOTTONE BAUDUCCO MAX TRUFA 450G      ","7891962071398"
"2148439","BISC RECH LIANE KIDS MORANGO 115G       ","7896080898711"
"2148447","BISC RECH LIANE KIDS LIMAO SICILIAN 115G","7896080898575"
"2148455","BISC WAFER LIANE BRIGADEIRO PANELA 90G  ","7896080880310"
"2148463","BISC WAFER LIANE CHOCOLATE BELGA 90G    ","7896080880341"
"2148471","BISC WAFER LIANE CHOCOLATE C/AVELA 90G  ","7896080880372"
"2148480","BISC WAFER LIANE MORANGO 90G            ","7896080880303"
"1106830","DESP BATENTE DO AMORTECEDOR TRAS        ","3000011068300"
"1106848","DESP SENSOR TPMS                        ","3000011068485"
"1106856","DESP FILTRO QUIMICO COMBUSTIVEL         ","3000011068560"
"1106864","DESP OLEO MOTOR XT CLEAN 5W30 DPF       ","3000011068645"
"1107046","DESP VIAPOL FUSEPROTEC PAREDE 18KG      ","3000011070464"
"2151073","RACAO PETISCOS WHISKAS PELO SAUD SCH 40G","7896029021781"
"2151081","RACAO PETISC WHISKAS ANTBOLA PEL SCH 40G","7896029021798"
"1107232","REJUNTE QUARTZ ACRIL CINZA PLATINA      ","3000011072321"
"1107240","DESP BOLSINHA PERSONALIZADA             ","3000011072406"
"1102320","DESP GABINETE ATX C3 TECH MT-32BK C/FTE ","3000011023200"
"2147530","JARRA SUMMER ABACAXI 1,400ML            ","7896908212101"
"2147653","POTE BANDEIRANTE WINDOW 1,5L            ","7896908251988"
"2147661","POTE BANDEIRANTE PORCEL INGLES 1,5L     ","7896908242986"
"2147670","POTE BANDEIRANTE WINDOW DOURADO 1,5L    ","7896908252985"
"2147688","POTE BANDEIRANTE WINDOW ROSE 1,5L       ","7896908253982"
"2147696","SQUEEZE BANDEIRANTE UNICOR RSA 750ML    ","7896908211227"
"2147700","SQUEEZE BANDEIRANTE SNOOPY RSA 500ML    ","7896908229215"
"2147718","SQUEEZE BANDEIRANTE SNOOPY VINT 750ML   ","7896908211722"
"2143810","CANETA CIS BRX 0.7 PRETA                ","7909438033617"
"2143828","CANETA CIS BRX 0.7 ROSA                 ","7909438033730"
"2143836","CANETA CIS BRX 0.7 VERMELHA             ","7909438033624"
"2143844","LAPIS COR GATTE C/12 CORES PEQUENO      ","7897771000017"
"2143852","REGUA PLAST LEO LEO BLISTER 30CM        ","7897256261865"
"2149206","DESP ARROZ CAMIL                        ","3000021492065"
"2149915","CATCHUP BUCATINNI TRAD 200G             ","7898904591709"
