"COD","DESCRICAO","EAN"
"1803182","SAND IPANEMA TEMAS  AZUL/LARANJA        ","7909171648826"
"1803190","SAND IPANEMA STYLE BEGE/CZA/VDE         ","7909171751540"
"1800108","SAND HAVAIANAS FLAT MIX AMARELO BAN 33/4","7891224062928"
"1800116","SAND HAVAIANAS FLAT MIX AMARELO BAN 35/6","7891224062935"
"1800124","SAND HAVAIANAS FLAT MIX AMARELO BAN 37/8","7891224062942"
"1800132","SAND HAVAIANAS FLAT MIX AMARELO BAN 39/0","7891224062959"
"1800140","SAND HAVAIANAS FLAT MIX AZUL ESTR 33/4  ","7891224062973"
"1800159","SAND HAVAIANAS FLAT MIX AZUL ESTR 37/8  ","7891224062997"
"1800167","SAND HAVAIANAS FLAT MIX AZUL ESTR 39/0  ","7891224063000"
"1800175","SAND HAVAIANAS FLAT MIX BEGE PALHA 39/0 ","7891266698321"
"1800183","SAND HAVAIANAS FLAT MIX BEGE PAL/VD 33/4","7891224063079"
"1804707","SAND HAVAIANAS K CARS MARINHO 35/6      ","7890732128140"
"1804715","SAND HAVAIANAS K CARS PRETO 23/4        ","7895265412261"
"1804723","SAND HAVAIANAS K CARS PRETO 25/6        ","7895265412278"
"1804731","SAND HAVAIANAS K CARS PRETO 27/8        ","7895265412285"
"1804740","SAND HAVAIANAS K CARS PRETO 29/0        ","7895265412292"
"1804758","SAND HAVAIANAS K CARS PRETO 31/2        ","7895265412308"
"1804766","SAND HAVAIANAS K CARS PRETO 33/4        ","7895265412315"
"1804774","SAND HAVAIANAS K CARS PRETO 35/6        ","7895265412322"
"1804782","SAND HAVAIANAS FIESTA BCO/MARAVILHA 35/6","7895265977708"
"1797492","LAMP LED FLC ECOLED 6W                  ","7899433606322"
"1022288","DESP ARMARIO AMA431 2P 4PRAT            ","3000010222888"
"1797859","SUCO DEL VALLE UVA 250ML                ","7894900611007"
"1797875","REFRIG FANTA UVA PET 250ML              ","78909052"
"1022342","PINO GUIA SUP PINCA FREIO HR            ","3000010223427"
"1022350","PINO GUIA INF PINCA FREIO HR            ","3000010223502"
"1797883","CHOC BARRA CRUNCH 22,5G                 ","7891000107713"
