"COD","DESCRICAO","EAN"
"1736477","AGUA SANIT OLIMPO 1L                    ","7896013100461"
"1736493","PEIXE PIRAMUTABA GPESCA PCT 1KG         ","7898509902849"
"1729837","PEDRA SANIT Q ODOR FLORAL C/1           ","7897434400833"
"1733257","PAPEL HIG PIMPO NEUTRO 4X30M            ","7898056270279"
"1733273","MORANGO LESSA BDJ 250G                  ","7898937115057"
"1733281","LEITE PO INT INST ITAMBE SCH 1KG        ","7896051130161"
"1733320","SAND IPANEMA JOLIE INF LIL/LILA 31/32   ","7909006193125"
"1733346","PRATO ULTRA DESC FUNDO PF 18 C/10       ","7898339190720"
"1012134","POTE SINHA PIPOCA COMPUTADOR            ","3000010121341"
"203572","MORTADELA DEFUMADA REGINA KG            ","20357"
"1733630","SUCO GREENDAY GRAVIOLA 1L               ","7896336804664"
"1732498","DETERG PO TIXAN YPE PREMIUM 1KG         ","7896098900048"
"1732498","DETERG PO TIXAN YPE PREMIUM 1KG         ","17896098900045"
"1732501","DETERG PO TIXAN YPE PREMIUM C/AMAC 1KG  ","7896098900062"
"1732510","DETERG PO TIXAN YPE PRIMAVERA SCH 2KG   ","7896098900956"
"1732528","CANECA PORC PORCELANAS 2D BRASIL 260ML  ","7897903101780"
"1732544","CANECA PORC PORCELANAS 2D BRASIL 120ML  ","7897903101995"
"1733290","COLORIFICO NORDESTINO 100G              ","7891091018035"
"1733303","SAL MIRAMAR REFINADO 1KG                ","7896110100012"
"1733311","DOCE XAVANTE GOIABADA 300G              ","7896235800019"
"203556","DISPLAY MONTILLA ARAMADO                ","20355"
"1731297","ERVILHA CENOURA OLE VD 200G             ","7891032013457"
"1734628","COPO MEXBRAS C/CANUDO PLUSH POISON 500ML","7898594910125"
"1734636","SQUEEZE MEXBRAS MENININHAS ROSA 350ML   ","7898594910972"
"1734644","SQUEEZE MEXBRAS BOB ZOOM 590ML          ","7898594911139"
"1734652","SQUEEZE MEXBRAS BOB ESPONJA 590ML       ","7898594910200"
"1734660","SQUEEZE MEXBRAS PEQUERRUCHOS 350ML      ","7898594911078"
"1734679","SQUEEZE MEXBRAS CEARA 590ML             ","7898594910392"
"1734687","SQUEEZE MEXBRAS CEARA 350ML             ","7898594910385"
"1734695","SQUEEZE MEXBRAS ESPORTES 590ML          ","7898945563161"
"1547860","CERV BOHEMIA PURO MALTE LN 355ML","7891991006064"
"1692011","CERV SKOL BEATS EXTREME LN 313ML        ","7891149104772"
"1548212","CERV STELLA ARTOIS PREMIUM LN 275ML     ","7891149101917"
"1548140","CERV CARACU LN 355ML                    ","7891149210343"
"1708201","CERV DEVASSA PLAYBOY LN 275ML           ","7898904771477"
"2009978","CERV BUDWEISER SLEEK LT 350ML","7891991010535"
"1548000","CERV SKOL BEATS LN 330ML                ","7891149101405"
"2009030","CERV BUDWEISER PILSEN LN 343ML          ","7891991010856"
"1012126","PANO LIMP MULTIUSO 300M AZUL 3M         ","3000010121266"
"1732730","OVOMALTINE CREME CROCANTE PT 380G       ","7898409952364"
"1732749","SH CLINIHAIR PRO RESTAUR 250ML          ","7896000719058"
"1732757","COND CLINIHAIR PRO RESTAUR 250ML        ","7896000719096"
"1732773","CR TRAT CLINIHAIR PRO RESTAUR 430G      ","7896000718372"
"1732781","COND CLINIHAIR CON QUEDA 250ML          ","7896000719089"
"1732790","SH CLINIHAIR CON QUEDA 250ML            ","7896000719041"
"1732803","CR TRAT CLINIHAIR CON QUEDA 430G        ","7896000718396"
"1732811","COND CLINIHAIR REP ABSOLUTA 250ML       ","7896000719065"
"1732820","SH CLINIHAIR REP ABSOLUTA 250ML         ","7896000719027"
"1733354","SALGADINHO SAO BRAZ LANCH SORT 110G     ","7891091063981"
