"COD","DESCRICAO","EAN"
"1894463","BEB ENERG TNT MACA VERDE 269ML          ","7897395033002"
"1896679","SAND IPANEMA TEMAS V ROSA/ROSA          ","7909224452790"
"1896687","SAND IPANEMA DOGMANIA INF ROSA/ROSA     ","7909224566886"
"1896814","SALGADINHO OSHO DRINKS GAL CAIPIRA 70G  ","7898917041109"
"1896822","SALGADINHO OSHO DRINKS PIMENTA 70G      ","7898917041116"
"1045326","DESP SPT ESP MNL MT                     ","3000010453268"
"1045334","DESP ESP H430X1250 LSB FV               ","3000010453343"
"1045342","DESP EPS ISL ESP LSB FV                 ","3000010453428"
"1895044","MEL NECTAR FLORAL PROPOMA SPRAY 35ML    ","7896458500529"
"1895052","PAPEL HIG MILI FOLHA DUP NEUTRO 4X60M   ","7896104993729"
"1895060","PAPEL HIG MILI FOLHA DUP NEUT L12P11 30M","7896104996393"
"1895079","PAPEL HIG MILI FOLHA DUP PERF L12P11 30M","7896104996409"
"1895087","PAPEL HIG MILI FD SLIM NEUT LV16PG15 30M","7896104995136"
"1895095","PAPEL TOALHA MILI 20X22CM 55FLS         ","7896104998724"
"1897969","COXINHA ASA FGO AURORA IQF 1A1 1KG      ","7891164163402"
"1901630","RACAO KITEKAT AD CARNE MOLHO SCH 70G    ","7896029018057"
"1901630","RACAO KITEKAT AD CARNE MOLHO SCH 70G    ","7896029067741"
"1901656","RACAO KITEKAT AD FRANGO MOLHO SCH 70G   ","7896029018064"
"1901656","RACAO KITEKAT AD FRANGO MOLHO SCH 70G   ","7896029067802"
"1894196","VODKA NORDKA 1L                         ","7897395099213"
"1894196","VODKA NORDKA 1L                         ","7897395099220"
"1894242","BEB ENERG TNT  TANGERINA 269ML          ","7897395033057"
"1894269","BEB ISOTON IRONAGE LARANJA 500ML        ","7897395032012"
"1894510","OVOS TIJUCA BRANCO MED C/30             ","7898930906492"
"1894528","COXA FRANGO TIJUCA CONG BDJ 1KG         ","7898930906232"
"1894528","COXA FRANGO TIJUCA CONG BDJ 1KG         ","7898930906249"
"1894544","SOBRECOXA FRANGO TIJUCA CONG BDJ 1KG    ","7898930906225"
"1894552","COXA SOBREC FRANGO TIJUCA CONG BDJ 1KG  ","7898930906218"
"1894560","ASA FGO TIJUCA CONG BAND 1KG            ","7898930906201"
"1894579","COXINHA ASA FGO TIJUCA CONG BDJ 1KG     ","7898930906171"
"1045210","DESP BOTA COURO USAFE C/E CBP PRETA 39/0","3000010452100"
"1045237","DESP BOTA COURO USAFE C/E CBP PRETA 44  ","3000010452377"
"1045245","DESP BOTA MICRO C/C CBP MARROM 40       ","3000010452452"
"1045253","DESP BOTA MICRO MARLUVAS C/E S/B BCA 36 ","3000010452537"
"1045261","DESP CALCA FRIGOR GANIRIS M C/A         ","3000010452612"
