"COD","DESCRICAO","EAN"
"2174880","ACHOC PO  PREDILECTA SC 700G            ","7896292300125"
"2177170","SH PANTENE COLAGENO 510ML               ","7500435151498"
"2177188","SH PANTENE EQUILIBRIO 510ML             ","7500435209748"
"2177196","SH PANTENE QUERATINA 510ML              ","7500435232838"
"2177200","ED ORAL-B EXPERT GENGIVA ALCANCE SV     ","7500435152587"
"1126695","DESP VASO DE VIDRO MARROM BC0112        ","3000011266959"
"1126709","DESP CACHEPO MESA CERAMICA 26 X 27 CM RO","3000011267093"
"2164060","CR PENT DOVE RECONSTRUCAO 200ML         ","7891150094963"
"2198533","PAPEL HIG CAPRICE FD NEU 12X20M LV12PG11","7896347504324"
"2203677","SPRAY GLITTER ALEGRIA PRATA 150ML       ","7898233930835"
"2203685","SPRAY GLITTER  DA ALEGRIA ROSA 150ML    ","7898233930811"
"2203693","TINTA P/CAB DALEGIA SPRAY PRATA 150ML   ","7898233932143"
"2203707","CONFETE ALEGRIA PAPEL 100G              ","7898233932181"
"2195070","BRINQ WORLD PESCARIA PG PEIXES 5PC R3733","7908399547812"
"2195089","BRINQ MARAL EDUC BABY FLOWER  REF4038   ","7908682400381"
"2195119","POTE BANDEIRANTE DOG ROSA PET 1.7L      ","7896908202010"
"2195135","PORTA ESCOVA UTIL BAZAR UB10046         ","7897202100460"
"2195143","BONECA WORLD ISABEL C/DOG 2PC R3548     ","7908399546020"
"2195160","BONECA WORLD MELINA C/ACES 2PCS FB01787 ","7898687942309"
"2195186","BONECOS WORLD HEROIS 5PCS FB01310       ","7908399547515"
"2195194","ESPELHO MESA ULTIL BAZAR QUAD COLOR     ","7897202103027"
"2195224","BRINQ WORLD PING PONG 5PCS RF3834       ","7908399544958"
"1121898","DESP RACK SLIM CCSA KAZULO FDS          ","3000011218989"
"2203812","ESFOLIANTE CORPO DOURADO MELANCIA 150G  ","7908972500166"
"2203820","ESC DENTAL POWERDENT MACIA PRECION L2P1 ","7898585291233"
"2203839","ESC DENTAL POWERDENT MACIA OCEAN KIDS   ","7898940257096"
"2203847","TOALHA UMED BUBBYBABY C/100             ","7898972821272"
"2203855","TOALHA UMED BUBBYBABY PREMIUM C/120     ","7898972821265"
"2203863","SH ELSEVE LIFTER COLAG 200ML            ","7908966528404"
"2203871","COND ELSEVE LIFTER COLAGENO 200ML       ","7908966527117"
"2203880","CR PENT ELSEVE LIFTER COLAGENO 250ML    ","7908966528534"
"2173387","BATATA MAZID CONG 2KG                   ","7898645530210"
"2173948","DESP MOTOR ELETRICO 24V                 ","7894766655467"
"2173956","DESP RELE DE PARTIDA 24V                ","7892684006385"
"1112996","DESP OLEO HID HYDRA 68 BD               ","3000011129964"
"1113003","DESP BOTAO DUPLO DE ELEVACAO            ","3000011130038"
"1113011","DESP BOTAO DUPLO DE INCLINACAO          ","3000011130113"
"2173964","DESP CHAVE GERAL                        ","7898241533233"
"2177897","FECULA MANDIOCA HIDRATADA LOPES 1KG     ","217789"
"1117610","DESP ROSCA DE CALABRESA SOLIMOES        ","3000011176104"
"1117629","DESP SUPORTE COND 30/36 600MM C/REF     ","3000011176296"
"1117637","DESP SUPORTE EVAP 7/80 600MM C/REF      ","3000011176371"
"1117645","DESP CORPO SOLENOIDE 3/8R EVR 3         ","3000011176456"
"1117653","DESP FITA PVC PRETA 100MMX10MT          ","3000011176531"
"1117661","DESP ARRUELA LISA GALV 1/4              ","3000011176616"
"2194058","DIFUSOR ELETRICO BOM AR REF LIRIO 16ML  ","7891035918032"
"2194066","REPELENTE ELET SBP AP+REFIL SUAVE 35ML  ","7891035990984"
"1124030","DESP TELHA TRAPEZIO ZINCALUME 040MM     ","3000011240300"
"2191016","FLANELA LISA JR GG 48X78                ","7890000000413"
"2191024","PANO PRATO ARTESANAL JR 45X75CM         ","7890000000406"
"2191024","PANO PRATO ARTESANAL JR 45X75CM         ","7890000000420"
"2191032","PANO PRATO COM VIES JR 40X75CM          ","7890000000154"
"2197839","ACHOC PO MARATA POUCH 400G              ","7898617582254"
"2197847","CANJICA MILHO MARATA AMARELO 400G       ","7898617581721"
"2197855","CANJICA MILHO MARATA BRANCO 400G        ","7898617581714"
"2197863","CATCHUP MARATA PICANTE 370G             ","7898286191740"
"2197871","CATCHUP MARATA TRAD 370G                ","7898286191733"
"2197880","TIRA MANCHA LIQ ASSIM ROUP BRANCAS 1,5L ","7908324409185"
"2163381","LOCAO BARBA BOZZANO POS NIGHT BLU 100ML ","7891350026627"
"2163390","ESMALTE RISQUE NU COBERTURA 8ML         ","7891182991971"
"2165724","REGUA FUTURO FLEXIVEL 20CM              ","7908214717192"
"2165732","LAPIS COR FUTURO REDONDO C/12           ","7908214729423"
"2165740","MASSA MODELAR FUTURO C/6 CORES          ","7908214729577"
"2165759","GIZ CERA FUTURO GROSSO C/6 CORES        ","7908214737381"
"2168790","ESMALTE IMPALA ANA CAST LACADA PER 7,5ML","7896111999080"
"2168804","ESMALTE IMPALA ANA CAST SOU DO MAT 7,5ML","7896111999202"
"2168812","ESMALTE IMPALA ANA CAST BOTA CHAPE 7,5ML","7896111999004"
"2176882","BORRACHA LEONORA PONTEIRA BC            ","7897256261285"
"2176890","BORRACHA LEONORA BRANCA                 ","7897256233176"
"2176890","BORRACHA LEONORA BRANCA                 ","7897256263173"
"2203375","DESP MOLHO TOMATE MILAO                 ","3333330390174"
"2203383","DESP BOM BOM RECHEADO MILAO             ","3333330390181"
"2203391","DESP SUCO CONC.VENEZA                   ","3333330460174"
"2203405","DESP BISC.SALGADO VENEZA                ","3333330460181"
"2203413","DESP BOM BOM RECHEADO VENEZA            ","3333330460198"
"2203421","DESP EMBALAGEM STA.EDWIGES DOLLS        ","3333330840013"
"2203430","DESP SE PANETONE GOTAS CHOC BELGA       ","3333330840020"
"2197480","KIT PO DESC 20G+AGUA OXIG 60ML YAMA CAMO","7896150025849"
"2197499","KIT PO DESC 20G+AGUA OXIG 60ML YAMA HIAL","7896150025832"
"2197502","KIT PO DESC 20G+AGUA OXIG 60ML YAMA ACTI","7896150023845"
"2197510","KIT SH+CR YAMASTEROL BABOSA 320+320ML   ","7896150025870"
"2197529","KIT SH+CR YAMASTEROL ARGAN 320+320ML    ","7896150025856"
"2197537","KIT SH+CR YAMASTEROL HIALURICO 320+320ML","7896150025900"
"2197545","KIT SH+CR YAMASTEROL HIDROLISA 320+320ML","7896150025924"
"7889","AGUA AD/SAIS SAO CARLOS RET 20L         ","788"
"7900","AGUA+GARAF COMPLETO SAO CARL  20L       ","790"
"2212331","MAC INST RICHESTER BAIAO DOIS 74,3G     ","7891152802610"
"2212340","MAC PARAFUSO ESTRELA 400G               ","7896264671130"
"1129570","DESP DESINF HOSP ALCOOL 70 INPM 1L SANIX","3000011295706"
"2212650","EXTRATO TOMATE HEINZ SCH 240G           ","7896102504248"
"2212668","CATCHUP HEINZ ZERO 373G                 ","7896102504293"
"2176505","BATEDEIRA ARNO MINI CHEF BC NEVE HM10 4L","7895500760157"
"2180405","CESTO MILPLASTIC TELADO RET VM 20X13,5  ","7908068702016"
"2180413","CESTO MILPLASTIC TELADO RET PT 20X13,5  ","7908068701972"
"2180421","CESTO MILPLASTIC TELADO RET AZ 25X17,5  ","7908068701941"
"1114670","DESP REJUNTE FLEX CINZA ESC TPII-1KG-REV","3000011146701"
"1114697","DESP LUVA AZUL LR 25MMX1/2              ","3000011146978"
"1114700","DESP ISOPOR PARA LAGE                   ","3000011147005"
"1114719","DESP TUBO ESGOTO PVC PLASTILIT DN40 6M  ","3000011147197"
"1114735","DESP SEPARADOR/NIVELADOR 1,0MM AZ-CORTAG","3000011147357"
"2182025","COXINHA SUCRE CARNE DO SOL  220G        ","7908612300217"
"2182033","COXINHA SUCRE FRANGO 220G               ","7908612300200"
"2182041","COXINHA SUCRE QUEIJO  220G              ","7908612300224"
"2182050","EMPANADOS REGINA REGGETS CONG 300G      ","7898249773211"
"2182068","EMPANADOS REGINA REGGETS CONG 1KG       ","7898249771774"
"2185636","PENTE ANAMARIA C.FINO C/2               ","7897281200488"
"2185652","ESC CAB CONDOR BELLE PLANA 9723         ","7891055656624"
"2185660","ESC CAB RICCA OVAL ALMOFADA 2426        ","7897517924263"
"1126717","DESP CACHEPO MESA CERAMICA 24 X 22 CM RO","3000011267178"
"1126725","DESP ESCULTURA DECOR POLIRESINA MAOS KIT","3000011267253"
"1126733","DESP A.ESTRELICIA PU C/POTE X18 (VERDE) ","3000011267338"
"1126741","DESP KIT CAIXAS DECOR MDF REVEST PU C/ 2","3000011267413"
"1128710","DESP SMARTPHONE MOTO G35 128GB          ","3000011287107"
"2195240","BRINQ WORLD GUITARRA MUSICAL FB00156    ","7896523206387"
"2195240","BRINQ WORLD GUITARRA MUSICAL FB00156    ","7898678458543"
"2195259","BRINQ WORLD LANCA BOLHAS PEIXE RF3653   ","7908399549779"
"2195267","SACO LIXO UTIL P/FEZES PET 1L 6PCS      ","7897201797494"
"1124951","DESP MASSA CORRIDA PVA BD PLAST 20KG    ","3000011249518"
"1124960","DESP LIXA AGUA GR240 D103 DIMAX         ","3000011249600"
"1124978","DESP ARGAMASSA ACIII REJUNTAMIX 15KG    ","3000011249785"
"1124986","DESP LUM PAINEL EMB LED QUAD 6500K 18W  ","3000011249860"
"1124994","DESP VALVULA ESCOAMENTO PLAST C/INOX    ","3000011249945"
"1125001","DESP KIT FIX PLAST CX ACOP CENSI        ","3000011250019"
"2178117","ACHOC PO  PREDILECTA SC 200G            ","7896292300088"
"2178125","ACHOC PO  PREDILECTA SC 370G            ","7896292300101"
"2179415","SAND HAVAIANAS SLIM BRASIL PAR PT 39/40 ","7893249495378"
"2179423","SAND HAVAIANAS  BRASIL RS CROCUS 39/40  ","7890541785435"
"2179431","SAND HAVAIANAS RETRO RS ROLLY 37/38     ","7893249714875"
"2179474","SAND HAVAIANAS  RETRO RS ROLLY 37/38    ","7891224634194"
"2179482","SAND HAVAIANAS KIDS PRINCESS CAJ 31/32  ","7909843104490"
"2179504","SAND HAVAIANAS KIDS CJ 27/28            ","7909843104476"
"2179512","SAND HAVAIANAS FLAT PIN SZUL CEU 35/36  ","7909690469858"
"2212404","IOG YOBEM PROTEINA CAFE CARAMELO  250ML ","7898064012007"
"2194074","REPELENTE REPELEX FAMILY 200ML GTS50ML  ","7891035024214"
"2194082","REPELENTE LIQ REPELEX GAT MULT VOA 280ML","7891035002816"
"2194104","REPELENTE ELET REPELEX REFIL 40ML       ","7891035002830"
"1123009","DESP MOTOR FRIVEN 450MM 220V            ","3000011230097"
"2194112","IOG YOBEM SEMIDESN MGO/BANANA PT 170G   ","7898064011895"
"2194120","IOG YOBEM SEMIDESN COCO/BAUNILHA PT 170G","7898064011918"
"2194139","IOG YOBEM SEMIDESN NATURAL PT 170G      ","7898064011901"
"2194147","LEITE FERM BETANIA KIDS UVA 80G PC/6    ","7898064011963"
"2194155","LEITE FERM BETANIA KIDS MORANGO 80G     ","7898064011970"
"2188201","PAO ARTESANAL PANE VITA TRAD 500G       ","7896280600862"
"2190290","CADERNO FANTASIA ADESIV 15MAT 300FL CD  ","7908623700655"
"2190303","CADERNO FANTASIA ADESIV 15MAT 210FL CD  ","7908623700358"
"2190311","PANO PISO ALKLIN ALVEJADO 40X67CM C/4   ","7897750782002"
"2210258","XICARA CHA HOTEL MAE 200ML              ","7898637117221"
"2210266","ESPATULA PINCEL FRATELLI SILICONE       ","7899110578812"
"2197898","TIRA MANCHA LIQ ASSIM ROUP COLORID 1,5L ","7908324409178"
"2204690","BEB MISTA SCHWEPPES MARACUJ LT 269ML    ","7894900184907"
"2204789","PASTA MATRICULA FLIPERSON VD C/50       ","7891634331027"
"2204800","PASTA MATRICULA FLIPERSON AM C/50       ","7891634048772"
"2204800","PASTA MATRICULA FLIPERSON AM C/50       ","7891634331003"
"2205386","BEB MIST NINNOFF ICE FRUT TROP PET 300ML","7897736411438"
"2205394","BEB MIST NINNOFF ICE FRUT VERM PET 300ML","7897736411421"
"2205408","BEB MIST NINNOFF ICE LIMAO PET 300ML    ","7897736411414"
"2210053","RACAO FRISKIES AD PEIXE FRUTOS MAR 850G ","7891000454145"
"2168820","GELATINA CAP KOLENE KIDS GLITTER  500G  ","7908324405606"
"2168839","COND KOLENE KIDS CACHINHOS 300ML        ","7908324404470"
"2168847","CR PENT KOLENE KIDS CACHINHOS 300ML     ","7908324404487"
"2169045","CHAVE TESTE BLACK BULL DIGITAL          ","7908093807427"
"2169053","CHAVE PRECISAO BLACK BULL 11 PCS        ","7908093807809"
"2169061","KIT COSTURA BLACK BULL 32 PCS           ","7908093807984"
"2173549","MILHO PIPOCA PULA PULA 400G             ","7896045114306"
"2173549","MILHO PIPOCA PULA PULA 400G             ","17896045114303"
"2173557","MILHO PIPOCA DONA CLARA 400G            ","7896045114290"
"2173557","MILHO PIPOCA DONA CLARA 400G            ","17896045114297"
"1125737","DESP FABRIC MONTAGEM E LIMP CALHAS      ","3000011257377"
"1125745","DESP LIMPEZA CALHAS                     ","3000011257452"
"1125753","DESP GORJETA                            ","3000011257537"
"1125761","DESP SUCO JARRA MARACUJA 750ML          ","3000011257612"
"1125770","DESP DEVASSA 600ML                      ","3000011257704"
"1125788","DESP CAIPIRINHA TRADICIONAL             ","3000011257889"
"1125796","DESP OLD PARR DS                        ","3000011257964"
"1125800","DESP PUDIM                              ","3000011258008"
"1125818","DESP MOUSSE PORCAO                      ","3000011258183"
"2201615","DESP GRAMPEADOR TRIS ESCOLAR 30F METAL  ","7897476613017"
"7919","SALG STAR PAES PAO DELICIA RECH UND     ","791"
"7927","CAPSULA CAFE DESCAFEINADO STAR PAES     ","792"
"1126032","DESP PONTA GOND MONSTER HIBRIDA         ","3000011260322"
"1126040","DESP SAPATO MICROFIBRA BCO KADESH 42    ","3000011260407"
"2201640","OREGANO INALD SH 10G                    ","7898368350294"
"2201658","PAPRICA INALD DEFUMADA SH 40G           ","7898368353851"
"2201666","ACAFRAO DA TERRA MOIDO SH 40G           ","7898368350577"
"2201674","MOLHO MENDEZ PIMENTA HAB RED PEPPER 80ML","7898943849205"
"1114751","DESP RALO CLICK 10X10 CROMADO           ","3000011147517"
"1114760","DESP DISCO BORRACH C/VELCRO ROMA 4,1/2  ","3000011147609"
"1114778","DESP REGISTRO ESF PVC 25MM SOLD COMP TIG","3000011147784"
"1114786","DESP NIPEL AR ROSCAVEL MULTILIT 3/4     ","3000011147869"
"2181576","KIT BANHO MARAC LUA BEM BELLA C/4       ","7908989300063"
"2181584","KIT BANHO MGO LUA BEM BELLA C/4         ","7908989300049"
"1115529","MP COCO RALADO KG                       ","3000011155291"
"1115529","MP COCO RALADO KG                       ","7898914221092"
"2182009","DOCE DE LEITE/GOIAB SAO LUCAS 200G      ","40232915659"
"1116134","DESP CB FLEX 1KV 04X001,50MM PT         ","3000011161346"
"2185679","CR DENT COLGATE ORIG PRO ALIVIO 60ML    ","7509546653396"
"2185687","CR DENT COLGATE ORIG SENSITIVE 90ML     ","7891024041611"
"2185695","CR DENT SENSODYNE RAP ALIV 50G LV3PG2   ","7896015529109"
"2185709","ESC DENT COLGATE PREMIER ULTRA 8470     ","6910021007206"
"2185725","ESC DENT CONDOR TRIP BLACK              ","7891055324097"
"2185733","ESC DENT KESS BASIC SLIM REFE2553       ","7897517925536"
"2185750","ESC DENT KESS MEDIA LV3PG2              ","7897517925642"
"2185784","ANTISSEP BUC LISTERINE TART CONT 250ML  ","7891010256784"
"2185814","ANTISSEP BUC LISTERINE TART CONT 500ML  ","7891010256791"
"2190249","QUEIJO MINAS ITAMBE FAT 150G            ","7896051168072"
"2190257","BEB LACTE PARMALAT WHEY MILHO VERD 250ML","7891097106132"
"2190265","BEB LACTE PARMALAT WHEY COC/BAT DO 250ML","7891097104336"
"2190273","BEB LACTE PARMALAT WHEY CHOC 250ML      ","7891097104343"
"2192098","SALGADINHO PIPPOS MILHO 75G             ","7891091061628"
"2195771","AP BARBEAR GILLETTE PREST3 MEN SV CINZA ","7500435244688"
"2195780","FRALDA DESC PAMPERS SUPERSEC ECON XG14  ","7500435200288"
"1123718","DESP TINTA FORTEX BCO NEVE 25KG         ","3000011237188"
"2176475","AIRFRYER ELETROLUX  220V AJINOM 1400W 4L","7896347181693"
"2176483","FORNO MICROONDAS PANASONIC 21L BCO 220V ","7896067222447"
"2176491","FOGAO ESMALTEC 4 BOCAS BALI BCO         ","7899081753874"
"1125010","DESP DIALINE FUNDO MULTIUSO BRANCO 900ML","3000011250101"
"1125028","DESP LIXA DE FERRO 120 C/25 TATU        ","3000011250286"
"1125036","DESP PARAFUSO CONJ P ASSENTO SANIT P-3  ","3000011250361"
"2202042","GELATINA PO STELLA UVA 20G              ","7898930141923"
"2202050","GELATINA PO STELLA FRAMBOESA 20G        ","7898930141787"
"2202069","GELATINA PO STELLA MORANGO 20G          ","7898930141930"
"2202077","HIDRA LABIAL CARMED COCA COLA VERM 10G  ","7897947621329"
"2179520","SAND HAVAIANAS ELEGANCE VENTO 35/36     ","7909843821977"
"2193469","FDA PAMPERS PANTS P/CARE GIGA XG 64UNID ","7500435145992"
"2203898","COND ELSEVE LIFTER COLAGENO 400ML       ","7908966527193"
"2203901","KIT SH+COND ELSEVE COLAGENO LI 385+170ML","7908966557855"
"2203910","SH ELSEVE LIFTER COLAG 400ML            ","7908966527155"
"2203928","CR TRAT ELSEVE COLAGENO 300G            ","7908966528367"
"2203936","LEAVE IN ELSEVE LIFTER COLAGENO 100ML   ","7908966529333"
"2203944","TINT BELA COR 50G 76.44 RUIVO NATURAL   ","7896509973906"
"2203952","ESC DENT COLGATE TOT.LIMPEZA ESP C/2    ","7509546693729"
"2202093","GRAMPEADOR MINI BAZZE C/GRAMPO C/2 PCS  ","7908673904348"
"2202107","GRAMPO GALVANIZADO BAZZE 26 C/5000      ","7897476615066"
"2202115","TESOURA MULTIUSO BAZZE 17CM             ","7897476617329"
"2202123","LAPIS GRAF BAZZE EMOTIONS               ","7908673904010"
"2202131","BORRACHA BAZZE WAVE                     ","7908673904041"
"2202140","BLOCO ADESIVO BAZZE 76X102 C/100FL      ","7908673904683"
"2202158","COLA BASTAO BAZZE 10G C/1UND            ","7908673903990"
"2202166","LAPIS COR BAZZE PASTEL 10 CORES         ","7908673901736"
"2202174","LAPIS BAZZE NEON C/BORRACHA             ","7908673908414"
"1124420","DESP TINTA ESMALTE B DAGUA BRANCO NEVE  ","3000011244209"
"1124439","DESP PASSA FIO 15 MT PANTER             ","3000011244391"
"1124447","DESP SIFAO SANF PLAST DN38/50MM DUP BR  ","3000011244476"
"2205432","SAND HAVAIANAS ELEGANCE DUOR 35/36      ","7909843821922"
"2205459","SAND HAVAIANAS ELEGANCE DUOR 37/38      ","7909843821939"
"2205467","SAND HAVAIANAS ELEGANCE DUOR 39/40      ","7909843821946"
"2205475","SAND HAVAIANAS FANT RS CHIFFON 35/36    ","7909989962220"
"2205483","SAND HAVAIANAS FANT RS CHIFFON 37/38    ","7909989962237"
"2205491","SAND HAVAIANAS FANT RS CHIFFON 39/40    ","7909989962244"
"1128590","DESP CABO FLEX 750V 004,00MM VM         ","3000011285905"
"2176025","PASTILHA TIC TAC CITRUS MX 14,5G        ","78946033"
"2176173","FRUTAS CRISTALIZADAS MARIZA POUCH 200G  ","7896369618450"
"2176181","UVA PASSAS MARIZA ESCURA 170G           ","7896369617989"
"2176297","COND PANTENE 250ML COLAGENO             ","7500435197007"
"1114450","DESP VALVULA P/TANQUE METAL CLICK       ","3000011144509"
"1114476","DESP PAINEL LED LYS 18W 4000K           ","3000011144769"
"1114484","DESP [LIXEIRA RED TAMP BAMBU C/PEDAL 3L ","3000011144844"
