"COD","DESCRICAO","EAN"
"2132923","ATIVADOR CACHO NATUHAIR C/PROT SOL 300ML","17896229906397"
"2132931","CR PENT NATUHAIR MEU VOLUMAO 1KG        ","7896229910878"
"2132931","CR PENT NATUHAIR MEU VOLUMAO 1KG        ","17896229910875"
"2132940","CR PENT NATUHAIR FORCA NA JUBA 1KG      ","7896229910885"
"2132940","CR PENT NATUHAIR FORCA NA JUBA 1KG      ","17896229910882"
"1096141","DESP TUBO COBRE RIGIDO 3/4              ","3000010961411"
"1096150","DESP CORREIA AUXILIAR DIESEL            ","3000010961503"
"1096168","DESP LIMPADOR MICROLOGIC PREMIIUM       ","3000010961688"
"1096176","DESP PANO LIMPEZA INTERNA MOTOR         ","3000010961763"
"1096184","DESP KIT LUBRIFICACAO                   ","3000010961848"
"1096192","DESP HIGIENIZADOR A/C                   ","3000010961923"
"1096206","DESP CORREIA DENTADA                    ","3000010962067"
"1096214","DESP MOPAR MAXPRO                       ","3000010962142"
"1096222","DESP COLOR SET LISO AMARELO 48X66       ","3000010962227"
"6068","SALGADO SEMI FOL STAR PAES MISTAO UND   ","606"
"6076","SALGADO SEMI FOL STAR PAES QUEIJO UND   ","607"
"6084","SALGADO EMPADA STAR PAES CARNE SOL UND  ","608"
"6092","SALGADO EMPADA STAR PAES UND            ","609"
"6106","SALGADO FOL STAR PAES CARNE SOL UND     ","610"
"6122","SALGADO SEMI FOL STAR PAES FGO REQ UND  ","612"
"6130","SALGADO FOL STAR PAES MISTO UND         ","613"
"6149","SALGADO FOL STAR PAES VARIADOS UND      ","614"
"1097490","DESP FANTASIA POP VINGADORES HULK REGINA","3000010974909"
"2132230","POTE PLASUTIL POP QUADRADO A2 400ML     ","7896042057705"
"2132249","POTE PLASUTIL POP RETANG A2 1,2L        ","7899808857748"
"2132257","POTE PLASUTIL RET A2 380ML              ","7896042058054"
"2132265","PRATO PLASBERG INF PEQ AZ BEBE          ","7898626560472"
"2132273","PRATO PLASBERG INF PEQ RS BEBE          ","7898626560496"
"2132281","SABONETEIRA PLASUTIL VIDA               ","7896042003559"
"2132290","TABUA P/CARNE PLASBERG C/CABO           ","7898626560038"
"2132303","CANECA TERRAMADA MAES SORTIDA 290ML     ","7898637112509"
"2132311","ORGANIZADOR UNITERMI TERM MILAO AZ 1,5L ","7898961930183"
"2129140","MASC  CP DOURADO BUMBUM  CLINC HIDR 300G","7898610078297"
"2129140","MASC  CP DOURADO BUMBUM  CLINC HIDR 300G","17898610078294"
"2130491","BEB ENERG BLADE ORIGINAL 2LT            ","7898633250014"
"1098322","DESP PALITO SACHE INOVEM C/1000         ","3000010983222"
"2131790","CERV DEVASSA DUPLO MALTE LT LIMAO 350ML ","7896052607778"
"2131803","CERV DEVASSA DUPLO MALTE LT MARAC 350ML ","7896052607792"
"2131951","LAMP ELGIN BULBO LED A60 12W 6500K BIV  ","7897013586255"
"2132958","ATIVADOR CACHOS NATUHAIR RADIANTE 300ML ","7896229906116"
"2132958","ATIVADOR CACHOS NATUHAIR RADIANTE 300ML ","17896229906113"
"2132966","ATIVADOR CACHOS NATUHAIR INTENSOS 300ML ","7896229906109"
"2132966","ATIVADOR CACHOS NATUHAIR INTENSOS 300ML ","17896229906106"
"2132974","CR PENT NATUHAIR MEU DIVINO CREM 2X1 1KG","7896229910854"
"2132974","CR PENT NATUHAIR MEU DIVINO CREM 2X1 1KG","17896229910851"
"1096230","DESP EMB QD CMDO PVC TP OP              ","3000010962302"
"1096583","DESP RT INT 1,80MT 1800W/220V           ","3000010965839"
"1096591","DESP QD DIST S 800X500X120              ","3000010965914"
"2126125","CONFETE ALEGRIA PAPEL 120G              ","7898233931429"
"2126133","CATCHUP VAL TRAD PREMIUM 400G           ","7898045701852"
"2126141","MOLHO TOMATE VAL PIZZA SCH 300G         ","7898045702040"
"2126150","MOLHO TOMATE VAL HOT DOG SCH 340G       ","7898045701739"
"214019","PALMIER STAR PAES KG                    ","21401"
"214027","SALGADO CROISSANT STAR PAES CARNE SOL UN","21402"
"2133075","ACUCAR MASCAVO GERMINA 500G             ","7898905078124"
"2133083","BATATA CHIP PRAMESA CEBOLA 100G         ","7898556014892"
"2133091","BATATA CHIP PRAMESA CHURRASCO 100G      ","7898556014939"
"2133105","BATATA CHIP PRAMESA ORIGINAL 100G       ","7898556014908"
"1099248","DESP PORTA CANETA/CLIPS DELLO COLOR     ","3000010992484"
"2135558","LEIT FERM DESN CHAMYTO TRADIC 80G       ","7891000379547"
"2135566","IOG NESTLE GREGO TRAD MGO CALDA 90G     ","7891000382349"
"2135574","IOG NESTLE GREGO TRAD COCO CALDA 90G    ","7891000382387"
"2137232","SAB LIQ ANTISEP ASEPTOL ERVA DOCE 1L    ","3000021372329"
"1099280","DESP PRENDEDOR PAPEL 19MM C/40 BRW      ","3000010992804"
"1099299","DESP PRENDEDOR PAPEL 32MM C/24 BRW      ","3000010992996"
"2134365","PAO DE MEL BAUDUCCO BDJ 80G             ","7891962070179"
"2134373","SALG DE BATATA  PRINGLES ORIGI 104G     ","7896004006277"
"2134373","SALG DE BATATA  PRINGLES ORIGI 104G     ","17896004006274"
"2134381","SALG DE BATATA  PRINGLES CEBOLA 109G    ","7896004006239"
"2134381","SALG DE BATATA  PRINGLES CEBOLA 109G    ","17896004006236"
"2134390","SALG DE BATATA  PRINGLES QUEIJO 109G    ","7896004006284"
"2134390","SALG DE BATATA  PRINGLES QUEIJO 109G    ","17896004006281"
"2134403","SALG DE BATATA  PRINGLES CHURRA 109G    ","7896004006406"
"2134403","SALG DE BATATA  PRINGLES CHURRA 109G    ","17896004006908"
"2134420","CHOC BARRA HERSHEYS CAFE EXPRESSO 85G   ","7899970402401"
"2134438","CHOC BARRA HERSHEYS MACCHIATO 85G       ","7899970402159"
"1099205","DESP EXPOSITOR RACK POP KIDS ZONE       ","3000010992057"
"1099400","DESP BLOCO 7.0                          ","3000010994006"
"1099418","DESP GESSO COLA 5KG                     ","3000010994181"
"1099426","DESP SISAL 500G                         ","3000010994266"
"1099434","DESP GESSO REVESTIDO 40KG               ","3000010994341"
"2135027","LAMP LED ELGIN 9W BIVOLT                ","7897013586231"
"2135108","LAPIS COR NOBRE PQ C/12                 ","7898569715090"
"2137119","TESOURA P/UNHA MUNDIAL FLEX RETA BC326  ","7891060836301"
"1101048","DESP DUTO KANADUTO SW CINZA 1           ","3000011010484"
"2134527","CAFE SOLUV PILAO CAFETERIA 40G          ","7896089088465"
"2134535","PAPEL HIG NEVE F DUPLA DERMACARE 12X20M ","7896018704732"
"2136686","BISC RECH NEGRESCO MORANGO 90G          ","7891000376805"
"2136694","BISC RECH NEGRESCO CHOCOLATE 90G        ","7891000377130"
"2136821","CAFE SOLUV NESCAFE CANELA LT 150G       ","7891000148389"
"1100122","DESP HASTE TESTEIRA, MDF, PINTURA ELETRO","3000011001222"
"1100130","DESP PROGRAMADOR HORARIO PDS 02 MG BIVOL","3000011001307"
"2136953","FILEZINHO FGO LAR CONG BDJ 1KG          ","7896419728917"
"2136961","ACUCAR MAVALERIO MILCORES VERMELHO 80G  ","7896072648157"
"2136074","SQUEEZE BANDEIRANTE SPO VD VDE LIM 750ML","7896908211029"
"1100181","DESP BOTA COURO PRETA KADESH BD BA 41   ","3000011001819"
"1100190","DESP BOTA COURO PRETA BD ACO FOX -43    ","3000011001901"
"1100203","DESP BOTA COURO PRETA KADESH BD BA 42   ","3000011002038"
"1100211","DESP BOTA COURO PRETA BD ACO FOX -45    ","3000011002113"
"1100220","DESP BOTA COURO PRETA KADESH BD BA 44   ","3000011002205"
"1100238","DESP CUPOM BLOCO FRISCO PT 100X140MM    ","3000011002380"
"2137240","SAB LIQ ANTISEP ASEPTOL MARROQUINAS 1L  ","3000021372404"
"2137402","FRALDA DESC MASTERSOFT GERIAT G-EG C/8  ","7898286503451"
"2136155","LIMPADOR UAU LIMP PES ALTA LV1PG900ML   ","7891242465916"
"2136163","LIMPADOR UAU LIMP PES ROSAS/SEDUC 500ML ","7891242404090"
"2137550","BISC RECH PIRAQUE MALTADO BLACK 85G     ","7896024761620"
"2137569","BISC PIRAQUE LEITE MALTADO BLACK 132G   ","7896024761637"
"2137585","TAPETE MULTIFACIL MEU PEZINHO ALG 44X60 ","735201185712"
"2137615","MORANGO SABOR MINAS CONG PCT 1,005KG    ","789899432887"
"1100440","DESP DISJUNTOR UNIP 3KA C32A EASY9      ","3000011004407"
"1100459","DESP CANALETA HELADUCT HD-10PF 80X80MM  ","3000011004599"
"1100467","DESP CABO FL 750V SIL VD 6MM            ","3000011004674"
"2133822","SAB ALBANY PERFUME BCO 85G              ","7908324403992"
"2133830","SAB ALBANY PERFUME LARANJA 85G          ","7908324404012"
"2133849","SAB ALBANY PERFUME ROXO 85G             ","7908324403985"
"2133857","SAB ALBANY PERFUME VERMELHO 85G         ","7908324404005"
"2133954","MAC PARAFUSO ESTRELA SEMOLA  400G       ","7896264671048"
"2133954","MAC PARAFUSO ESTRELA SEMOLA  400G       ","17896264671045"
"2135205","BEB ENERG RED BULL MGO/PESSEGO 250ML    ","9002490258825"
"1099493","DESP ADITIVO FLUIDO DOT-4               ","3000010994938"
"1099507","DESP ARLA 32 FLUIDO ARLA 20L            ","3000010995072"
"1099515","DESP CHAPA XADREZ 1000X2500X1 2MM PISO  ","3000010995157"
"2136406","COADOR CAFE JP CABO MADEIRA             ","7896468100221"
"2136414","RALADOR METAL JP C/CABO PLASTICO        ","2010000004395"
"2136414","RALADOR METAL JP C/CABO PLASTICO        ","7899701843398"
"2136422","RALADOR ALHO CAERUS C/TRITURADOR        ","2010000015407"
"2136422","RALADOR ALHO CAERUS C/TRITURADOR        ","7899701843374"
"1100157","DESP BOTA COURO PRETA KADESH BD BA 40   ","3000011001574"
"2137089","VENTILADOR MONDIAL MESA PRETO 40CM 220V ","7899882309928"
"2137089","VENTILADOR MONDIAL MESA PRETO 40CM 220V ","7899882313598"
"2137089","VENTILADOR MONDIAL MESA PRETO 40CM 220V ","7899882314144"
"2137089","VENTILADOR MONDIAL MESA PRETO 40CM 220V ","7899882314182"
"1100262","MP CREME GANACHE CHOC AO LEITE KG       ","3000011002625"
"2137259","SAB LIQ ANTISEP ASEPTOL MARROQUIN 200ML ","3000021372596"
"2137267","SAB LIQ ANTISEP ASEPTOL ERVA DOCE 200ML ","3000021372671"
"2137275","SAB LIQ ANTISEP ASEPTOL ERVA DOCE 90ML  ","3000021372756"
"2137410","FRALDA DESC MASTERSOFT GERIAT P-M C/8   ","7898286503437"
"2137429","FRALDA BENNY BABY CAL DIA NOIT MEG G/30 ","7891522030537"
"1100645","DESP ESM CORALIT CORAL BALAN PTO 900ML  ","3000011006456"
"2138760","SAB GIPSY PERFUME SONHOS 80G            ","7897751901792"
"2138778","SAB GIPSY ENERGIA AMAZONIA 80G          ","7897751901815"
"2138786","SAB GIPSY DESEJO MORANGO 80G            ","7897751901808"
"2138794","SAB GIPSY LAVANDA 80G                   ","7897751901822"
"2138808","COLA BRANCA BIC 40G                     ","703305298164"
"1100912","DESP LAMINA ESTILETE BRW LARGA C/10     ","3000011009129"
"2135612","SAB LIQ GENOMA FAC ASEPXIA CARV DE 150ML","7898636192458"
"2135612","SAB LIQ GENOMA FAC ASEPXIA CARV DE 150ML","17898636192455"
"2135620","SAB LA FLORE FLOR LAVANDA 150G          ","7898489521139"
"2135639","SAB LA FLORE FLOR CEREJA 150G           ","7898489521153"
"2135647","SAB LA FLORE FLOR MARACUJA 150G         ","7898489521160"
"2135647","SAB LA FLORE FLOR MARACUJA 150G         ","17898489521167"
"2135655","SAB LA FLORE FLOR VANILA 150G           ","7898489521146"
"2135655","SAB LA FLORE FLOR VANILA 150G           ","17898489521143"
"2135663","SAB LA FLORE FLOR ERVA DOCE 150G        ","7898489521122"
"2135663","SAB LA FLORE FLOR ERVA DOCE 150G        ","17898489521129"
"2135671","KIT SH+COND NIELY GOLD CACH OL 275+175ML","7908615017297"
"2135671","KIT SH+COND NIELY GOLD CACH OL 275+175ML","7908615017303"
"2135680","CR PENT NIELY GOLD OLEO LINHACA 250ML   ","7908615017273"
"2135698","CR TRAT NIELY GOLD CACHO OL LINHACA 430G","7899706208086"
