"COD","DESCRICAO","EAN"
"2086620","TACA SANREMO PS DRINK 260ML             ","7896359041480"
"1082159","DESP MASC RESP PFF2 BR S/VALV           ","3000010821593"
"1083198","DESP PLAFON BRANCO                      ","3000010831981"
"2089262","BEB MISTA MIKES LEMONADE PITAIA LT 269ML","7898605254170"
"212628","RACAO WHISKAS AD SALMAO AGR KG          ","21262"
"1084062","DESP CABO FLEX 750V 2,50MM VD/AM        ","3000010840624"
"1084070","DESP CABO FLEX 750V 2,50MM PT           ","3000010840709"
"1084089","DESP BOX RETO 02 ALUM CR 3/4            ","3000010840891"
"2087677","MASCARA DESC CREMER BCA C/50            ","7891800637281"
"2087685","LUVA DESC CREMER C/10                   ","7891800639988"
"1082477","DESP FORRA GUAJARA 2.15X0.13            ","3000010824778"
"1082485","DESP FORRA GUAJARA 0,90X0,13            ","3000010824853"
"1082493","DESP FECHADURA STILO EXT CR             ","3000010824938"
"1082507","DEPS MONTAGEM PORTA                     ","3000010825072"
"1082515","DESP ALIZAR MUIRACATIARA 2,2X0,05M      ","3000010825157"
"2088150","SABAO BARRA YPE NEUTRO 800G             ","7896098905906"
"2088703","MOLHO HIKARI MR TASTY 190G              ","7891965516988"
"1081772","DESP PREGO BELGO 18X27 1/2X10KG         ","3000010817725"
"1081780","DESP AREIA 6M                           ","3000010817800"
"1081799","DESP ARGAMASSA SOBREPISO 15KG           ","3000010817992"
"1082760","DESP SOLDA WAVES 2,50MM                 ","3000010827601"
"1082779","DESP SOLDA WAVES 3,25MM                 ","3000010827793"
"2088304","SAND IPANEMA LITORAL MASC AZUL/BRANCO   ","7890244673688"
"2088312","SAND IPANEMA LITORAL MASC PRETO/PRETO/CZ","7890244673787"
"2088320","SAND IPANEMA EASY PRINT PRETO/OURO      ","7890875772170"
"2088339","SAND IPANEMA EASY PRINT BEGE/ROSA METAL ","7890875854937"
"2087006","POTE SANREMO FACIL PLAST                ","7896359026531"
"1081250","DESP LAMPADA                            ","3000010812508"
"1081268","DESP LAMP.ICAN                          ","3000010812683"
"2087855","PEITO FRANGO CONG SADIA TEMP COZ DE 400G","7891515547974"
"2087863","SACO SEGPLAST DINDIN 5X30CM C/100       ","7898139621783"
"2087871","CHA SPIRRO OLIVEIRA 20G                 ","7898568950331"
"2087910","ESTOJO PLASUTIL CORES MULTIUSO          ","7899808872567"
"2087928","PORTA ESCOVA PLASUTIL CLASSIC FOSCO A2  ","7899808877630"
"2087936","PENEIRA PLASUTIL FUNIL PEQ DEC A2 AZ    ","7896042079509"
"1080954","DESP PERFIL U50X100X50MM CHAPA PRE EXT  ","3000010809546"
"212415","LING FGO MERCI KG                       ","21241"
"2087359","FARINHA MAND BCA MESTRE VITO 1KG        ","7898940179039"
"2087537","TEMP COMP REGINA C/AMAC 500ML           ","7896108301957"
"2087545","TEMP REGINA P/ FRANGO 500ML             ","7896108301940"
"2087553","DETERG LIQ TANLUX NEUTRO 2L             ","7898954789897"
"2087561","BATATA CHIPS FRITOP COSTELINHA 30G      ","7898955341377"
"1082361","DESP ELETROC PERF U CH24 150X100X3000   ","3000010823610"
"1082370","DESP GANCHO LONGO CH16 38X38            ","3000010823702"
"2086840","TEMP ISHASHI PAPRICA DEFUMADA 40G       ","7896244840273"
"1083210","DESP IMP EPSON TM-T20X TERM USB/SER     ","3000010832100"
"2090201","MIST LEIT E OLEO VEGETAL DAMARE 200G    ","7898994026914"
"1085255","DESP CANO 100MM KRONA                   ","3000010852559"
"1085565","DESP CABO CONTROL 1KV 7X2,5MM PT N BL AL","3000010855659"
"2090228","APONTADOR CIS COMUM SORTIDO REF643      ","7909438008073"
"1085603","DESP CABO PP 500V 2X0,75MM              ","3000010856038"
"1085611","DESP ABRAC NY PRET 200M T-18L           ","3000010856113"
"1085620","DESP SERRA COPO REG SH0100 25MM         ","3000010856205"
"1080393","DESP ESTRUTURA METALI TP LONGARINA      ","3000010803933"
"2086069","SUCO DELL VALLE FRUTAS CITRICAS 450ML   ","7894900666502"
"2088347","SAND IPANEMA TURMA MONICA INF AZ/AZ/AM  ","7909806031436"
"2088347","SAND IPANEMA TURMA MONICA INF AZ/AZ/AM  ","7909937323387"
"1083511","DESP TELA 4,2 150X150MM 6MX2,45M        ","3000010835118"
"1083520","DESP VERG CA50 16,00MM RETO 12M         ","3000010835200"
"1083546","DESP TUBO PAT. 3/4 1,55MM GA 6000MM     ","3000010835460"
"1083562","DESP DISCO TYROLIT 7                    ","3000010835620"
"1083570","DESP LUVA RASPA TOT. PETR               ","3000010835705"
"2089661","KIT SH+CO PRIME HAIR CACHOS 270+240ML   ","7897570114083"
"2085747","REFRESCO FRISCO MARACUJA C/IOGURTE 25G  ","7896045105441"
"2087456","LASANHA SADIA BOLONHESA 1,6KG           ","7893000639836"
"2087944","TACA PLASUTIL VINHO GLAMOUR A1          ","7899808871577"
"2087952","TACA PLASUTIL SOBREMESA GLAMOUR A1      ","7899808871492"
"2087960","PEGADOR SALADA PLASUTIL CRISTAL A1      ","7899808879566"
"1082825","DESP INJETADO TRAZEIRO C ANTE           ","3000010828257"
"1082930","DESP RACK 36UX19X670 SLIM PORTA         ","3000010829308"
"2088983","ELASTICO CAB RABICO 620615 C/6          ","7898667730018"
"2088991","ELASTICO CAB RABICO 630113 C/6          ","7898667731343"
"1080377","DESP NIPLE FG 2                         ","3000010803773"
"1080385","DESP BUCHA REDUCAO FG 2.1/2X2           ","3000010803858"
"2087103","ESMALTE IMPALA LA CASA PAP MATRIAR 7,5ML","7896111994245"
"1082167","DESP FILTRO LUBRIF REL 815              ","3000010821678"
"1082388","DESP CABO LAN CAT6 PLUS 4P 23AWG CM AZC ","3000010823887"
"1082396","DESP CABO FLEX 750V 2,50MM SIL PT       ","3000010823962"
"1082400","DESP CABO FLEX 750V 2,50MM SIL BC       ","3000010824006"
"2089017","IOG BATAVO PEDACOS MORANGO 450G         ","7891097010781"
"2089025","IOG BATAVO GREGO TRAD 450G              ","7891097000133"
"1080407","DESP LONA PRETA 4X110-20KG 50MC         ","3000010804077"
"1081217","DESP FONTE 9V 3A CLAS CONTROL ID        ","3000010812171"
"2089955","MARG CLAYBOM MANTEIGA C/SAL 1KG         ","7891515574840"
"1084917","DESP CHAV LIG DES PVC 220V 6A           ","3000010849177"
"2090236","CADERNO JANDAIA BROCH 1/4 LIGA JUST 80F ","7894494691775"
"2090244","CADERNO JANDAIA BROCH 1/4 MICKEY ART 80F","7894494694776"
"2090252","BORRACHA MERCUR DEC BCO/PTO             ","7896342905843"
"2090260","CADERNO SODINE ESPIRAL FLEX FOFOLITS 96F","7891253348383"
"2090279","CADERNO SODINE ESPIRAL FLEX PARADISE 96F","7891253348291"
"1082108","DESP QUAD DIST 1600X600X120 P60C 5/8    ","3000010821081"
"1082116","DESP QUA DIST SO 1300X600X120 P650C 5/8 ","3000010821166"
"1082124","DESP QUAD DIST 1500X600X120 P50 3/8     ","3000010821241"
"1082132","DESP QD BASE 1800X800X600 P60C 1/4      ","3000010821326"
"1082140","DESP QUAD DIST 800X450X120 P20C 1/2     ","3000010821401"
"2089670","KIT SH+CO ORIGEM CERAMIDAS 325+180ML    ","7896085872662"
"2089688","KIT SH+CO ORIGEM ABACATE/COCO 325+180ML ","7896085872648"
"2089696","KIT SH+CO ORIGEM BOMBA ARGAN 325+180ML  ","7896085872655"
"2089700","KIT SH+CO ORIGEM BABOSA 325+180ML       ","7896085872532"
"2088819","BISC SALG PIRAQUE 138G                  ","7896024760449"
"2088827","BISC SALG PIRAQUE INTEGRAL 138G         ","7896024760456"
"2088835","LIXEIRA BLACK LINE QUAD C/TAMPA 14,5L   ","7896679751670"
"2089009","ELASTICO CAB RABICO 630130 C/6          ","7898667730391"
