"COD","DESCRICAO","EAN"
"1772490","CONFEITOS MMS CHOCO AO LEITE 200G       ","7896423420791"
"1772503","BOMBONS RECH TWIX 15G                   ","7896423424140"
"1772511","CONFEITOS MMS AO LEITE 52G              ","7896423420456"
"1772511","CONFEITOS MMS AO LEITE 52G              ","7896423420654"
"1772520","TINT NUTRISSE COR INTENS 5.35 CAST CLARO","7898587760652"
"1772538","KIT AP BARBEAR BIC COMF 3 C/2 GTS BRACAD","70330732179"
"1767810","COND ALYNE TRAT DESAMARELADOR 350ML     ","7897161300505"
"1769820","OVO PASCOA NESTLE CLASSIC CHO LEITE 485G","7891000106198"
"1769839","MARG PURO SABOR 1KG                     ","7891152501551"
"1769847","OVO PASCOA NESTLE CLASSIC DIET 200G     ","7891000106211"
"1769855","OVO PASCOA NESTLE KIT KAT 400G          ","7891000107164"
"1769863","OVO PASCOA NESTLE SURPRESA MINNIE 150G  ","7891000107188"
"1769871","OVO PASCOA NESTLE CLASSIC LEITE AMAR 50G","7891000107546"
"1769880","OVO PASCOA NESTLE SURPRESA MICKEY 150G  ","7891000107928"
"1769898","OVO PASCOA NESTLE SURP PRINC MALETA 150G","7891000107966"
"1770730","ANTISSEP BUC COLGATE PLAX SOFT MIN 250ML","7891024130940"
"1770950","SH INF BIOTROPIC BEN10 2EM1 ICE 300ML   ","7899304807599"
"1770969","KIT SH+SH 2EM1 BIOTROPIC BEN10 ICE 240ML","7899304808596"
"1770977","COND ELSEVE ARGININA REST MASSA 200ML   ","7899706113182"
"1770985","COND ELSEVE ARGININA REST MASSA 400ML   ","7899706113205"
"1771000","SH ELSEVE ARGININA REST MASSA 400ML     ","7899706113168"
"1771019","CR TRAT ELSEVE ARGININA REST MASSA 300G ","7899706113243"
"1771027","FORMINHA BRINK FEST POA PINK N4 C/100   ","7898521165239"
"1771035","VELA BRINK FEST ANIV PALITO LARANJA C/20","7899077914012"
"1771361","MAC ESPAG BONSABOR 500G                 ","7898230895687"
"1771370","MIST BOLO FINNA BROWNIE 450G            ","7896090082179"
"1771370","MIST BOLO FINNA BROWNIE 450G            ","7896090695096"
"1771388","PEIXE CARA JEAN VELEIRO INT PCT 1KG     ","7898602240022"
"1771396","MIST BOLO FINNA MR CAKE LARANJA 500G    ","7896090695263"
"1771400","MIST BOLO FINNA MR CAKE CHOCOLATE 500G  ","7896090695218"
"1771418","MIST BOLO FINNA MR CAKE BAUNILHA 500G   ","7896090695256"
"1771426","MIST BOLO FINNA LARANJA 450G            ","7896090082148"
"1771426","MIST BOLO FINNA LARANJA 450G            ","7896090695065"
"1771434","MIST BOLO FINNA BAUNILHA 450G           ","7896090082131"
"1771434","MIST BOLO FINNA BAUNILHA 450G           ","7896090695058"
"1771442","MAC FORTALEZA BUZIO 500G                ","7891152223101"
"1772546","SAB LIQ INF FLORA NENEN 200ML           ","7896017708397"
"1772554","SAB LIQ INF FLORA NENEN 100ML           ","7896017708380"
"1772562","SAB INF DOVE BABY HIDRAT ENRIQUECIDA 75G","7891150026025"
"1772570","SAB INF DOVE BABY HIDRAT SENSIVEL 75G   ","7891150025998"
"1772589","COND FRUCTIS CACHOS PODEROSOS 200ML     ","7899706114677"
"1772597","SH FRUCTIS CACHOS PODEROSOS 200ML       ","7899706114639"
"1772600","CR TRAT FRUCTIS CACHOS PODEROSOS 300G   ","7899706114738"
"1772619","DES ROLLON REXONA MEN V8 LV3PG2 50ML    ","7891150035737"
"1772627","DES AERO REXONA MEN ACTIVE C/2 40%DES   ","7891150039643"
"1772627","DES AERO REXONA MEN ACTIVE C/2 40%DES   ","7891150043008"
"1769901","OVO PASCOA NESTLE TOY STORY 150G        ","7891000107980"
"1769910","OVO PASCOA NESTLE SURP STAR WARS 150G   ","7891000108390"
