"COD","DESCRICAO","EAN"
"1572300","SAB FLOR YPE LUXO BELEZA/PERF 90G       ","7896098900543"
"1572318","SAB FLOR YPE LUXO REFRESC 90G           ","7896098900550"
"1572326","COND SUAVE GUARANA RADIANTE 350ML       ","7898422747145"
"1572334","COND INF MURIEL BABY ROSA 150ML         ","7896279102384"
"1572342","OLEO CORPO MURIEL ERVA DOCE 100ML       ","7896279110006"
"1572350","SH FRUCTIS REIDRATACAO 72H 300ML        ","7899026444386"
"1572369","DES SPRAY CONTOURE BOUQUETFRESH 80ML    ","7891182006781"
"1572377","DES SPRAY NIVEA COOL KICK 90ML          ","4005808829989"
"1568752","POLPA FRUTA TROPI CASSIA ACAI 500G      ","7897175500168"
"1568760","POLPA FRUTA TROPI CASSIA GOIABA 500G    ","7897175500113"
"1568779","CANJINHA GOSTOSINHA FRANGO CONG 1KG     ","7896378136990"
"1568779","CANJINHA GOSTOSINHA FRANGO CONG 1KG     ","7898249771491"
"1568787","APERITIVO FGO REGINA HOT WINGS CHUR 700G","7896378150545"
"1568787","APERITIVO FGO REGINA HOT WINGS CHUR 700G","7898249770371"
"1568787","APERITIVO FGO REGINA HOT WINGS CHUR 700G","7898249771514"
"1568795","FILEZINHO FRANGO PERDIGAO CONG BDJ 1KG  ","7891515614065"
"1568809","TIRINHAS FRANGO SADIA 300G              ","7893000050983"
"1568817","LASANHA SADIA FRANGO VEGETAIS 650G      ","7893000517646"
"1568825","PIZZA PERDIGAO FRANGO CATUPIRY 460G     ","7891515923365"
"1568833","PIZZA PERDIGAO MUSSARELA FGO CATUPI 460G","7891515943554"
"1568930","COALHADA BETANIA DESN C/ADOCANTE 140G   ","7898403780284"
"1569945","SUCO PALMEIRON PESSEGO TP 200ML         ","7898366932010"
"1569953","SUCO PALMEIRON CAJU TP 200ML            ","7898366931983"
"1569961","BEB SOJA ADES+SUCO MARACUJA TP 200ML    ","7891700203005"
"1569970","BEB SOJA ADES ABACAXI TP 200ML          ","7891700202916"
"1569988","ACHOC PRONTO KAPO 200ML                 ","7894900623703"
"1569996","REFRESCO MID MACA 30G                   ","7891132000692"
"1570005","REFRESCO MID CUPUACU 30G                ","7891132001507"
"1570013","REFRESCO MID PERA 30G                   ","7891132000616"
"1570021","REFRESCO TANG GRAVIOLA 30G              ","7622300391980"
"1571150","DESINF KALIPTO LAVANDA 750ML            ","7891022848069"
"1571168","DESINF PINHO BRIL BRISA MAR 500ML       ","7891022101492"
"1571176","DESINF PINHO BRIL CAMPOS LAVANDA 500ML  ","7891022100990"
"1571184","AGUA SANIT QBOA 2L                      ","7896083800025"
"1571206","DESINF KALIPTO TALCO 2L                 ","7891022851854"
"1571214","DESINF ECONOMICO JASMIM 2L              ","7897312400887"
"1571222","TINT MAXTON 5.3 CAST CLARO DOUR         ","7896013544166"
"1571230","DESODORIZ GLADE LAVANDA OFERTA ESP 360ML","7894650001677"
"1571230","DESODORIZ GLADE LAVANDA OFERTA ESP 360ML","7894650013861"
"1571249","DESODORIZ GLADE FLORAL PERFECTION 360ML ","7894650002124"
"1571540","LIMPADOR VEJA MULTIUSO ORIGINAL 500ML   ","7891035210006"
"1571559","LIMPADOR VEJA MAX EFIC 4EM1CITRUS 500ML ","7891035216800"
"1571559","LIMPADOR VEJA MAX EFIC 4EM1CITRUS 500ML ","7891035217005"
"1571567","LIMPADOR VEJA MAX EFIC 4EM1 MAC VE 500ML","7891035216909"
"1571575","ALCOOL GEL VEJA CRISTAL 500G            ","7891035211218"
"1571583","LIMPADOR UAU LIMP PERF LAVAN/CAMOM 500ML","7891242457041"
"1571591","LIMPADOR UAU MULTIUSO ACAO CLAREAD 500ML","7891242211186"
"1571605","LIMPADOR UAU MULTIUSO FOLHA VERDE 500ML ","7891242211599"
"1571613","DESINF PATO LIMP PROF GEL PINHO 500ML   ","7894650155028"
"1571621","RACAO TORI MIST PASSAROS 500G           ","7891095500598"
"1573969","PEDRA SANIT DIA DIA JASMIM SH 25G       ","7898032680016"
"1573977","FILME PVC ALLIANCE 28CMX30M             ","7898460930219"
"1573985","SEMENTE LINHACA JASMINE 200G            ","7896283000416"
"1573993","MIX SOJA BIOSOFT TRADICIONAL 200G       ","7896837100050"
"1574000","PROTEINA SOJA JASMINE GROSSA 250G       ","7896283000218"
"1574019","MAC PARAFUSO EXCELSA INT 500G           ","7896200300056"
"1574027","ACUCAR MASCAVO YOKI 1KG                 ","7891095600854"
"1574035","DETERG PO TIXAN YPE MACIEZ CX 1KG       ","7896098900741"
"1574035","DETERG PO TIXAN YPE MACIEZ CX 1KG       ","27896098900745"
"1574043","DETERG PO TIXAN YPE FLORES CORES 1KG    ","7896098905814"
"1574051","DETERG PO TIXAN YPE PRIMAVERA CX 500G   ","7896098909713"
"1574051","DETERG PO TIXAN YPE PRIMAVERA CX 500G   ","17896098909710"
"1575481","CATCHUP HELLMANNS TRAD 190G             ","7891150009318"
"1575490","CATCHUP CEPERA PICANTE 400G             ","7896025800960"
"1575503","MOLHO SAKURA MILANESA 203G              ","7896007865147"
"1575511","DOCE TABLETE PREDILECTA 400G GOIABADA   ","7896292304017"
"1575520","DOCE LEITE GOSTOSURA TAB 200G           ","7896121200015"
"1575538","AVEIA NUTRY FLOCOS FINOS 170G           ","7891331010584"
"1575538","AVEIA NUTRY FLOCOS FINOS 170G           ","17891331217348"
"1575546","LEITE PO INT IDEAL SCH 200G             ","7891000015391"
"1575554","LEITE PO INT ITAMBE SCH 400G            ","7896051130116"
"1575562","LEITE PO INT 101 SCH 200G               ","7898236717181"
"1577395","RALADOR 04 FACES PLASUTIL REF2865       ","7896042028651"
"1577409","CHOC BARRA CLASSIC LEITE 40G            ","7891000062616"
"1577441","CHOC BARRA GALAK 170G                   ","7891000011041"
"1577425","RALADOR 4 FACES ARCA PLAST REF061       ","7898910720612"
"1577450","RALADOR PLASTIGEL LEGUMES               ","7896232523119"
"1577468","PORTA SAL/PALITO/GUARD PLASUTIL REF2596 ","7896042025964"
"1577476","FORMA GELO PLASUTIL REF156              ","7896042001562"
"1577484","CANECAO ALUMINOL TEFLON N14             ","7898257502049"
"1577514","ESCORREDOR LOUCA PLASUTIL REF504        ","7896042005041"
"1578626","LEITEIRA CIV 460ML REF7101              ","7898007757101"
"1578618","GEL POS SOL SUNDOWN 130G                ","7891010033415"
"1578634","OLEO BRONZ CENOURA E BRONZE FPS2 110ML  ","7896094906860"
"1578642","BLOQ SOLAR FACIAL NIVEA FPS30 50G       ","4005808239573"
"1578650","SH INF DISNEY HYDROGEN 200ML            ","7898133015489"
"1578669","JARRA CIV MULTIUSO 1L 726               ","7898007757262"
"1578677","SH INF DISNEY HYDROGEN 2EM1 200ML       ","7898133015496"
"1578685","COL INF DISNEY HYDROGEN 200ML           ","7898133015564"
"1578693","LANCHEIRA PLASUTIL PORTA FOTO REF2799   ","7896042027999"
"1578707","DEO COL GELLUS ORIGINAL 100ML           ","7898181581059"
"1574060","DETERG PO INVICTO ALFAZEMA 500G         ","7898031171669"
"1574701","BISC PRODUFORTE LIMAO 100G              ","7898921806282"
"1574710","BISC PRODUFORTE CAFE 100G               ","7898921806169"
"1574728","TAPIOCA PRATA 500G                      ","7896798502177"
"1574736","GRAO BICO YOKI 500G                     ","7891095100538"
"1574744","LENTILHA YOKI 500G                      ","7891095100552"
"1574752","KIT SOPA INST VONO C/10 GRATIS CANECA   ","7891132002757"
"1574760","ACHOC PO NESCAU LIGHT LT 400G           ","7891000051474"
"1574779","FEIJOADA BORDON 830G                    ","7896031224088"
"1575570","RAPADURA PRETA 700G                     ","7897213200029"
"1575589","RAPADURA PRETA 500G                     ","7897213200043"
"1575597","BATATA FRITA RUFFLES MOSTARDA MEL 60G   ","7892840231446"
"1575600","BISC WAFER LOWCUCAR ZERO CHOCOLATE 115G ","7896292002746"
"1575619","CALDO ARISCO GALINHA 19G                ","7894000000213"
"1575627","CALDO MAGGI BACON 21G                   ","7891000522202"
"1575635","CORANTE MIX CORALIM MARROM/CHOCOLA 10ML ","7897011503186"
"1575643","BEB LACTEA ITAMBE KIDS CHOCOLATE 200ML  ","7896051111856"
"1575651","DANETTE UHT CHOC 200ML                  ","7891025021117"
"1575678","ESC DENT COLGATE 360 SOFT MAC/SV        ","7891024316184"
"1577522","CJ POTE QUAD CLIC 3PCS REF2356          ","7896042023564"
"1577557","PETA PRODUFORTE NATURAL 80G             ","7898921806237"
"1577565","POTE PLASUTIL DEC RET 1,43L REF5521     ","7896042055213"
"1577581","POTE PLASUTIL DEC RED ROSCA 2L REF5564  ","7896042055640"
"1577573","SALGADINHO CHEETOS ONDA REQUEIJAO 170G  ","7892840219949"
"1577590","POTE PLASUTIL DEC QUAD 1,1L REF5574     ","7896042055749"
"1577603","POTE PLASUTIL DEC QUAD 2,85L REF5580    ","7896042055800"
"1577611","CESTO PLASUTIL TELADO 2,7L REF2985      ","7896042029856"
"1577620","CHOC SONHO VALSA CORACAO 215G           ","7622300542245"
"1577638","PORTA BISCOITO RECH SANREMO 420ML R690  ","7896359013487"
"1578715","DEO COL GELLUS ADVENTURE 100ML          ","7898181581066"
"1578723","DEO COL PILATUS 100ML                   ","7896036125960"
"1578731","DEO COL RASTRO 80ML                     ","7896094920217"
"1578740","KIT CLAREADOR MARCIA ALGAS MARINHAS 20G ","7896221802270"
"1578758","KIT CLAREADOR MARCIA CAMOMILA 20G       ","7896221802263"
"1578766","PO DESC MARCIA ALGAS MARINHAS 20G       ","7896221802249"
"1578774","PO DESC CARE LISS PROTEINAS SOJA 20G    ","7896046713133"
"1578782","PO DESC CARE LISS ACUCAR 20G            ","7896046702472"
"1578790","PO DESC CARE LISS QUERATINA 20G         ","7896046713164"
"1574787","ERVILHA GOIAS VERDE LT 2KG              ","7898905153302"
"1574795","ACHOC PO ITAGUARY LT 200G               ","7898365320177"
"1574809","TEMP DA ROCA ESP S/PIM 250G             ","7898368350430"
"1574817","MAIONESE SALADA LIGHT 250G              ","7891080154638"
"1574825","AZEITONA VALE FERTIL VERDE FAT VD 160G  ","7896272000878"
"1574833","AZEITONA VALE FERTIL VERDE RECH VD 200G ","7896272000977"
"1574841","AZEITONA VALE FERTIL VERDE C/CAR VD 335G","7896272000199"
"1574850","ASPARGOS CEPERA CONSERVA VD 320G        ","7896025801691"
"1574868","AZEITONA DIZA VERDE VD 200G             ","7897765600018"
"1574876","VINAGRE LORD VINHO TINTO 500ML          ","7896055411068"
"1575686","BISC WAFER AMORI COCO 20G               ","7891152304954"
"1576658","PANELA PRESSAO PANELUX POLIDA 4,5L      ","7898147771029"
"1576666","CJ MASSA FRATELLI INOX C/2 REF590029    ","7899110590029"
"1576674","FAQUEIRO GOLDEN INOX 24PCS REF624       ","7897999216245"
"1576682","FAQUEIRO GOLDEN INOX 12PCS REF612       ","7897999216122"
"1576690","CJ FEIJAO MARTINAZZO C/2 REF50204       ","7896479950044"
"1576704","CJ ARROZ INOX GOLDEN 2PCS REF110        ","7897999211103"
"1576720","BOLEIRA PLASUTIL REDONDA REF2550        ","7896042025506"
"1576747","QUEIJEIRA RISCHIOTO REF0013             ","7898121600130"
"1577646","PORTA MANTIMENTOS PLASUTIL 5PCS REF5600 ","7896042056005"
"1577662","DES AERO BOZZANO POLARIS 150ML          ","7891350032369"
"1577689","DES AERO BOZZANO HELIX 150ML            ","7891350032390"
"1577670","PORTA MANTIMENTOS CLIC 5PCS REF2503     ","7896042025032"
"1577697","CACAROLA ALUMINOL POLIDA N16            ","7898257501981"
"1577700","CACAROLA ALUMINOL POLIDA N18            ","7898257500168"
"1577719","CHALEIRA ALUMINOL L ESPECIAL N20        ","7898257501349"
"1577727","CHALEIRA ALUMINOL COLOR PLUS N18        ","7898257501363"
"1577735","RALO PIA ACO NEDO REF270                ","7896619802707"
"1578804","PO DESC CARE LISS ACUCAR 8G             ","7896046700232"
"1578812","ESMALTE COLORAMA CREM CAFE 8ML          ","7899026400894"
"1578820","ESMALTE COLORAMA URBAN CREM ARRANH 8ML  ","7899026424708"
"1578839","ESMALTE COLORAMA CREM CHIC 8ML          ","7899026422513"
"1578847","ESMALTE COLORAMA CREM FOG 8ML           ","7899026400856"
"1578855","ESMALTE COLORAMA CREM PETALA BRANCA 8ML ","7899026400849"
"1578863","ESMALTE COLORAMA CREM BATIDA COCO 8ML   ","7899026423398"
"1578871","ESMALTE COLORAMA CREM AMEIXA 8ML        ","7899026400993"
"1578880","ESMALTE COLORAMA CREM MILITAR 8ML       ","7899026426351"
"1574884","VINAGRE LORD VINHO AGRIN ESCURO 500ML   ","7896055410320"
"1574892","VINAGRE MINHOTO VINHO BCO 500ML         ","7896013100980"
"1574906","MOLHO DA ROCA PIMENTA VERM PICANTE 500ML","7898368350386"
"1574914","TEMP DA ROCA CASEIRO C/ AMAC 500ML      ","7898368351291"
"1574922","FARINHA LACTEA NESTLE INT LT 400G       ","7891000050125"
"1574930","VITAMINA INST NESTON 400G MORAN/PERA/BAN","7891000268100"
"1574949","VITAMINA INST NESTON 400G MAMAO/MACA/BAN","7891000268506"
"1574957","LEITE PO DESN MOLICO LT 300G            ","7891000148105"
"1574965","LEITE PO DESN ITAMBE INST LT 300G       ","7896051131038"
"1576755","CJ P/SUCO YANGZI C/ 4COPOS REF8215      ","7898452492633"
"1576780","COPO FC DESC C/100 180ML                ","3000015767803"
"1576828","CANTONEIRA BANHEIRO METASUL 26X42CM     ","7898188096310"
"1576844","SUPORTE GARRAFAO PLASTPREMIUM           ","7898306650288"
"1576860","BALDE LUMAR 15L REF753                  ","7898923643533"
"1576879","BALDE PLASUTIL LAVANDA 9L REF2785       ","7896042027852"
"1576887","BALDE IBAP 8L                           ","7898029400122"
"1576895","BALDE LUMAR CONSTRU PTO 13L REF751      ","7898923643519"
"1576925","GAVETEIRO PLASUTIL DEC 3GAV REF5650     ","7896042056500"
"1576941","LIXEIRA PLASUTIL DEC BASC 6L REF3731    ","7896042037318"
"1577743","ABRIDOR COMB NEDO REF08                 ","7896619800086"
"1577760","BALA DORI BOLETE CHICLETE 150G          ","7896058503333"
"1577778","BATATA FRITA SENSACOES PEITO PERU 45G   ","7892840215217"
"1577778","BATATA FRITA SENSACOES PEITO PERU 45G   ","17892840215214"
"1577786","PASTILHA TIC TAC CEREJA E MARACUJA 16G  ","78928282"
"1577794","CHOC BARRA CRUNCH 16G                   ","7891000066508"
"1577808","SUCO DEL VALLE NUTRI PESSEGO TP 200ML   ","7898341430142"
"1577816","BARRA CER NESTLE INT CAST/CHOCO 20G     ","7891000013069"
"1577824","BARRA CER NESTLE INT FRUTAS VERM 20G    ","7891000002520"
"1577832","BARRA CER NESTLE INT BANANA/CHOCO 20G   ","7891000081839"
"1577840","BARRA CER NESTLE INT MGO/IOG 20G        ","7891000255506"
"1578898","ESMALTE COLORAMA CREM BLACK 8ML         ","7899026400832"
"1578901","ESMALTE COLORAMA CREM MISTURINHA 8ML    ","7899026400900"
"1578910","ESMALTE COLORAMA CREM JEANS 8ML         ","7899026426368"
"1578928","CESTO PLASUTIL TELADO 71L REF485        ","7896042004853"
"1578936","ESMALTE COLORAMA CREM FRANCA 8ML        ","7899026407626"
"1578944","ESMALTE COLORAMA NAT FOFO 8ML           ","7899026408272"
"1578952","ESMALTE COLORAMA NAT PETALA 8ML         ","7899026408289"
"1578960","ESMALTE COLORAMA NAT VIA LACTEA 8ML     ","7899026400955"
"1578979","ESMALTE COLORAMA NAT CLASSICO 8ML       ","7899026426306"
"1578987","ESMALTE COLORAMA NAT SAMBA JULIANA 8ML  ","7899026414594"
"1574973","GELEIA DUCOPO MOCOTO 180G TUTTI FRUTTI  ","7898394321077"
"1574981","GELEIA PREDILECTA AMEIXA 230G           ","7896292360181"
"1574990","CALDO ARISCO GALINHA CAIPIRA 19G        ","7891700023023"
"1575007","PATE SWIFT CREAM GALINHA 130G           ","7896031271518"
"1575015","AVEIA NESTLE FLOCOS FINOS 200G          ","7891000084700"
"1575023","AVEIA QUAKER SABORES CHOCOLATE 250G     ","7894321619026"
"1575031","AVEIA QUAKER MAIS LIGHT AVE/BAN/MEL 200G","7894321615479"
"1575040","AVEIA QUAKER OAT BRAN 250G              ","7894321614038"
"1575058","COBERTURA MAVALERIO BRANCA 1KG          ","7896072692808"
"1575066","ATUM COQUEIRO ERVAS LIGHT 170G          ","7894321411538"
"1576950","TRONINHO INF PLASUTIL REF2155           ","7896042021553"
"1576976","JARRA PLASTIGEL 1,8L REF162             ","7896232516210"
"1576984","LIXEIRA PLASUTIL FLIP P/PIA REF2389     ","7896042023892"
"1576992","PORTA ESCOVA PLASUTIL DEC REF4462       ","7896042044620"
"1577042","DES LEITE ROSAS TRADICIONAL 90ML        ","7896806700243"
"1577077","PRESERVATIVO LOVETEX UVA C/3            ","7896222716460"
"1577085","PRESERVATIVO LOVETEX MENTA C/3          ","7896222717238"
"1577107","GOMA MASC TRIDENT HERBAL FRESH 8G       ","7895800308738"
"1577115","BALA GELATINAS FINI BEIJOS MORANGO 90G  ","7898279790400"
"1577859","GOMA MASC TRIDENT MORANGO 16,8G         ","78930377"
"1577867","BARRA CER NESTLE AVELA/CHOCO 60G        ","7891000082096"
"1577875","KIT 01 SACARROLHA+02 ABRIDORES REF0194  ","7896619801946"
"1577891","PORTA BOLACHAS LUMAR                    ","7898923643229"
"1577905","PORTA BISCOITO/TORRADA NITRON REF166    ","7896779616602"
"1577913","PORTA BISCOITO CLIC REF2802             ","7896042028026"
"1577921","PORTA PAO DEC PLASUTIL REF5610          ","7896042056104"
"1577883","KIT ABRIDOR+RALINHO NEDO REF0010        ","7896619800109"
"1577930","POTE PLASUTIL DEC QUAD 3,2L REF5607     ","7896042056074"
"1578995","ESMALTE COLORAMA NAT RENDA NATURAL 8ML  ","7899026408241"
"1579002","ESMALTE COLORAMA CINT PLATINO 8ML       ","7899026422551"
"1579029","ESMALTE COLORAMA CINT PRATA 8ML         ","7899026401518"
"1579037","ESMALTE COLORAMA CINT AVELA 8ML         ","7899026419186"
"1579045","ESMALTE COLORAMA ESPE MEU CINT HIPNO 8ML","7899026442306"
"1579053","ESMALTE COLORAMA CINT ROCK 8ML          ","7899026426313"
"1579061","ESMALTE COLORAMA CINT ALGODAO DOCE 8ML  ","7899026414617"
"1579070","ESMALTE COLORAMA CINT VERMELHO ARDEN 8ML","7899026421356"
"1579010","SAND IPANEMA TROPICAL FEMININA II       ","7909006222498"
"1575074","DOCE TABLETE PREDILECTA LIGHT 500G GOIA ","7896292350052"
"1575082","SALADA ATUM GOMES COSTA BAT/ERV/CE 150G ","7891167014022"
"1575090","REFRESCO MAGRO ZERO TANGERINA 8G        ","7896292050594"
"1575104","SOBEM DR OETKER GELA GELO 80G GROSELHA  ","7891048000823"
"1575112","MINGAU NUTRILON BANANA/MACA SH 230G     ","7891331008468"
"1575120","AVEIA NUTRY FLOCOS 170G                 ","7891331010577"
"1575120","AVEIA NUTRY FLOCOS 170G                 ","17891331217331"
"1575139","AZEITONA AGROLIVA VERDE SCH 310G        ","7896272001004"
"1575147","GRANOLA KOBBER TRADICIONAL 30G          ","7891772148969"
"1575155","DOCE TABLETE PREDILECTA LIGHT 300G GOIA ","7896292352056"
"1577123","BALA GELATINAS FINI MINHOCAS BRIL 90G   ","7898279790776"
"1577131","CHOC PO SOLUV DR OETKER DEC FESTA 200G  ","7891048000090"
"1577140","BALA DORI YOGURTE 100 ORIGINAL 150G     ","7896058503128"
"1577158","PUDIM DR OETKER 50G CARAMELO            ","7891048045121"
"1577166","BALA DORI HORTELA MINT 150G             ","7896058503326"
"1577174","MARIA MOLE DR OETKER 50G CHOCOLATE      ","7891048051078"
"1577182","MARIA MOLE DR OETKER 50G COCO           ","7891048051054"
"1577190","CHANTILLY YOKI SH 50G                   ","7891095009985"
"1577204","BALA GOMA FINI PRINCESAS 90G            ","7898279797072"
"1577212","MIST BOLO DR OETKER CUCA 450G           ","7891048060056"
"1577034","OLEO INF JOHNSONS BABY HORA SONO 200ML  ","7891010506513"
"1577948","POTE PLASUTIL DEC QUAD 3,2L REF5591     ","7896042055916"
"1577956","POTE PLASUTIL DEC QUAD 3,2L REF4711     ","7896042047119"
"1577964","POTE PLASUTIL DEC QUAD 6,6L REF4710     ","7896042047102"
"1577980","POTE PLASUTIL DEC ROSCA 2,7L REF4734    ","7896042047348"
"1577972","AP BARBEAR BOZZANO COMF P SENSIV 2 C/2  ","7898291211013"
"1577999","POTE PLASMONT RED 3600ML REF687         ","7898378696870"
"1578006","TORTEIRA PLASUTIL DEC 4,9L REF5641      ","7896042056418"
"1578014","POTE PLASUTIL DEC RET 3L REF4697        ","7896042046976"
"1578022","POTE PLASUTIL RET 1,8L REF212           ","7896042002125"
"1572920","SAB AROEIRA ASEPLYNE 90G                ","7897161395075"
"1572938","DES SPRAY AVANCO URBAN LV3PG2 85ML      ","7896094903609"
"1572946","KIT SH INF+LAVANDA FLORA NENEN 100ML    ","7896017708199"
"1572954","FRALDA DESC T MONICA T PROT JUMBO EG24+2","7896007544127"
"1572962","FRALDA DESC SAPEKA MEGA P C/48          ","7898162880607"
"1572970","PANO LIMPATUDO BETTANIN SEK C/02 REF4933","7896001049338"
"1572989","PANO CHAO BETTANIN SEK C/01 REF4921     ","7896001049215"
"1572997","PANO LIMPEZA SCOTT LIMPAMAX PISOS C/2   ","7702425535282"
"1573004","PAPEL HIG FLORAL PESSEGO 4X30M          ","7896006400448"
"1574078","DETERG PO INVICTO SUPERACAO 500G        ","7898031170099"
"1574086","DETERG PO OMO COMFORT ALOE VERA 1KG     ","7891038012409"
"1574094","LAVA ROUPA PO BRILHANTE TRAD SH 1KG     ","7891038080705"
"1574094","LAVA ROUPA PO BRILHANTE TRAD SH 1KG     ","7891150016750"
"1574108","PEDRA SANIT DESODOR FLORAL 40G          ","7896017821546"
"1574116","PEDRA SANIT DESODOR LAVANDA FRESH 40G   ","7896017821515"
"1574124","PEDRA SANIT DESODOR LAVANDA BOUQUET 40G ","7896017821522"
"1574132","PEDRA SANIT DESODOR RF EUCALIPTO C/2    ","7896017836137"
"1574140","PEDRA SANIT DESODOR RF PINHO C/2        ","7896017836120"
"1574159","PEDRA SANIT DESODOR RF LAVANDA C/2      ","7896017836144"
"1575694","TEMP DA ROCA COMP C/PIM 500ML           ","7898368350126"
"1575708","VINAGRE DA ROCA ALCCOL 500ML            ","7898368350454"
"1575716","TEMP DA ROCA CASEIRO C/ AMAC 300ML      ","7898368351284"
"1575724","MOLHO DA ROCA INGLES 500ML              ","7898368350393"
"1575732","MOLHO DA ROCA INGLES 150ML              ","7898368350164"
"1575740","EXTRATO ALHO DA ROCA 300ML              ","7898368350133"
"1575759","AZEITE DENDE DA ROCA 200ML              ","7898368351154"
"1575767","TEMP REGINA CASEIRO INTENSO 300ML       ","7896108300035"
"1575775","EXTRATO ALHO REGINA 500ML               ","7896108300042"
"1576470","DES ROLLON LEITE ROSAS TRADICIONAL 50ML ","7896806701011"
"1576488","DES ROLLON LEITE ROSAS PETALAS 50ML     ","7896806701196"
"1576496","DES ROLLON LEITE ROSAS FRESH 50ML       ","7896806701189"
"1576500","ANTISSEP BUC DENTICS BRANQ L500/P350ML  ","7896269693717"
"1576518","ANTISSEP BUC DENTICS COOL MIN L500P350ML","7896269691355"
"1576526","KIT SH+CO AROMA CAMPO 7 ERVAS 300ML     ","7896009188039"
