"COD","DESCRICAO","EAN"
"3590","CESTA MADEIRA ROSAS GDE                 ","359"
"1028502","NECESSAIRE KOLESTON ROXA                ","3000010285020"
"1828525","SAND HAVAIANAS DYNAMIC BCO/BCO 35/6     ","7891224095438"
"1828533","SAND HAVAIANAS DYNAMIC BCO/BCO 37/8     ","7891224095445"
"1827987","COLHER DESC COPOCENTRO SOBREM C/50      ","7898131400669"
"1828100","ACHOC PO TODDY ORIGINAL SCH 200G        ","7894321711218"
"1828274","TALCO ANT SEP TENYS PE CANF LV100PG80G  ","7896020161820"
"1828282","TALCO ANT SEP TENYS PE ORIG LV100PG80G  ","7896020161813"
"1828290","FARINHA LACTEA NESTLE SCH 600G          ","7891000078518"
"1828290","FARINHA LACTEA NESTLE SCH 600G          ","7891000078525"
"1828312","ACUCAR CRISTAL IVANA 1KG                ","7898994336518"
"1828355","PO DESC ALYNE CAMOMILA 20G              ","7897161353020"
"1828363","SAB PROTEX PRO HIDRATA LV6PG5 90G       ","7891024031377"
"1828380","CERV DEVASSA PURO MALTE LT 350ML        ","7898904771606"
"1826603","SAND IPANEMA CLASS INF RSA NEON/ROSA    ","7909171964032"
"1827154","TIRA MANC PO TIXAN YPE ROUP BCA 420G    ","7896098901274"
"1828010","PAPEL HIG FLORAL NEUTRO C/8 30MX10CM    ","7896006400516"
"1828029","PAPEL HIG FLORAL PERFUM C/8 30MX10CM    ","7896006400523"
"1828320","ABS INTIMUS GEL TRIP SV C/A LV9PG8      ","7896007547654"
"1828339","SAB LIQ P/MAOS NIVEA CREME SOFT 250ML   ","4005808131044"
"1828347","ODORIZ GLADE RF OCEAN OASIS 12,0ML      ","7894650003589"
"1828460","GAR TERM UNICASA INF 330ML REF632934    ","7899110632934"
"1828479","GAR TERM UNICASA INF 280ML R632965      ","7899110632965"
"1825208","UNHA POSTICA BELLIZ OVAL C/24           ","7897517912031"
"1825240","SAB EVEN SUAVE KARITE 90G               ","7896013106654"
"1825259","SAB EVEN SUAVE LAVANDA 90G              ","7896013106647"
"1825267","SAB EVEN SUAVE BOUQUE ROSAS 90G         ","7896013106630"
"1825275","COL PHYTODERM MISS ROSE 75ML            ","7897664169982"
"1825283","COL PHYTODERM VOLCANO 100ML             ","7897664169999"
"1825305","POLIDOR ALUM PARCERIA 500ML             ","7898947188546"
"1825321","SUCO ALIANCA UVA TINTO INT 1L           ","7896100502499"
"1825321","SUCO ALIANCA UVA TINTO INT 1L           ","7896100502925"
"1825364","DES ROLLON BIO FEM 48H BLOCK 50ML       ","7899706130950"
"1828541","SAND HAVAIANAS DYNAMIC BCO/BCO 39/0     ","7891224095452"
"1828550","SAND HAVAIANAS DYNAMIC ACO/CINZA 35/6   ","7891224095582"
"1828568","SAND HAVAIANAS DYNAMIC CZA ACO/CZA 43/4 ","7891224095629"
"1828592","VODKA ROKKY 965ML                       ","7896383730138"
"1828606","BISC RECH ANIMADOS ZOO QUAD CHOCO 130G  ","7891152340419"
"1828614","BISC RECH ANIMADOS ZOO QUAD MORANGO 130G","7891152340433"
"1828622","COOKIES AMORI CHOC GOTA CHOCO 40G       ","7891152305913"
"1828630","COOKIES AMORI BAUN GOTA CHOCO 40G       ","7891152305968"
"1828649","COOKIES AMORI CHOC GOTA CHOCO 60G       ","7891152306019"
"1828398","GEL CAP FIXED AZUL 250G                 ","7898211381840"
"1828401","SAB LIQ PROTEX PRO HIDRATA 250ML        ","7891024028117"
"1828428","CR TRAT ELSEVE DETOX SPA 300G           ","7899706133456"
"1828436","COND ELSEVE HYDRA DETOX 200ML           ","7899706133418"
"1828444","SH ELSEVE HYDRA DETOX 200ML             ","7899706133371"
"1828452","MASC CAP SALON OPUS HIDRAT MAGICA 400G  ","7896010174090"
"1828665","GRANULADO DORI MESCLADO 150G            ","7896058592108"
