"COD","DESCRICAO","EAN"
"2184672","PRESERV PRUDENCE C/3 TUTIFRUT           ","7898079000358"
"2184710","PROT MODESS C/80 L+P- .                 ","7896064445368"
"2184745","FRALD DESC BABYSEC PREM CAL MG XXG/20   ","7896061997129"
"2184761","FRALD DESC BABYSEC PREM CAL MG XG/22    ","7896061997112"
"2184788","FRALD DESC BABYSEC PREM CAL MG M/30     ","7896061997099"
"2184800","FRALD DESC BABYSEC PREM CAL MG G/24     ","7896061997105"
"2206609","GRANOLA INT JASMINE BANAN/CANELA 250G   ","7896283000492"
"2206617","GRANOLA INT JASMINE CAST/CACAU 250G     ","7896283006234"
"1127845","DESP BOTA PVC BCA CANO MEDIO INNPRO 43  ","3000011278457"
"1127853","DESP BOTA PVC BCA BRACOL CAN MD S/F 42  ","3000011278532"
"1127861","DESP BOTA COURO PRETA BD BA FORTLINE 38 ","3000011278617"
"1128019","DESP DET LIQ HIGINDOOR 246 HIPOCLO 5L   ","3000011280191"
"2206986","LIMPADOR UAU MULTIUSO CREM LIMAO 250ML  ","7891242811027"
"2206994","LIMPADOR UAU MULTIUSO CREM ORIGNAL 250ML","7891242811010"
"2207001","CERA SUPER VINTEX 500ML                 ","7898511028865"
"2205580","SAND HAVAIANAS FANT STY BEGE PALHA 35/36","7909989761816"
"2205599","SAND HAVAIANAS FANT STY BEGE PALHA 37/38","7909989761823"
"2205602","SAND HAVAIANAS FANT STY BEGE PALHA 39/40","7909989761830"
"2205610","SAND HAVAIANAS TOP BASIC PT/PT 37/38    ","7909989677636"
"2207010","RENOVA PLASTICOS VINTEX 500ML           ","7898511028964"
"2207060","BEB ENERG BALY TADALA AZULZINHO LT 473ML","7898080666154"
"2207079","BEB ENERG BALY TADALA AZULZINHO 2L      ","7898080666161"
"2207087","BEB ENERG BALY TROPCIAL LT 473ML        ","7898080664273"
"2207095","BEB ENERG BALY MELANCIA 2L              ","7898080664389"
"2192853","COQUETEL ALCO PITU BANANA 965ML         ","7896607100020"
"2192861","COQUETEL ALCOO PITU CAJU 965ML          ","7896607100037"
"2192870","PITU ICE LIMAO LONG NECK 275ML          ","7896607100945"
"2192896","AGUARDENTE PITU LIMAO LATA 350ML        ","7896607100280"
"1122800","SANDUICHEIRA LRJ KAPO VOLTA AULA 2MOD   ","3000011228001"
"1122819","SANDUICHEIRA ROX KAPO VOLTA AULA        ","3000011228193"
"1122827","DESP TOPO ILHA KAPO VOLTA AULA          ","3000011228278"
"2195275","OVOS TIJUCA OMEGA EXTRA C/10            ","7898705411770"
"2195283","OVOS TIJUCA OMEGA EXTRA C/20            ","7898705411824"
"2207311","SUP ALIM ULTRACOFFEE VANIL CREAM 220G   ","7898692302020"
"2207320","SUPLEM PLANT POWER ULTRACOFFE VANILA 10G","7898692302044"
"2207338","ALIM PO JUNGLE LOW LIMAO ELECT SCH 5G   ","7898692302297"
"2207346","ALIM PO JUNGLE END CARB LIMONADE SCH 40G","7898692302310"
"2207354","ALIM PO JUNGLE END CARB TANGER SCH 40G  ","7898692302334"
"2207362","BEB ISOTON JUNGLE LOW CARB MARAC 500ML  ","7898692302655"
"2207400","SABAO BARRA BRILUX GLICERINAD LIMAO 900G","7896013101420"
"2207419","SABAO BARRA BRILUX GLICERINAD NEUTR 900G","7896013101406"
"2207443","CANECA TERRAMADA MOTIVACAO 290ML        ","7898959529108"
"2176106","DESINF HOSP ALCOOL 70 INPM 1L ECONOMICO ","7897312403840"
"2206846","MAIONESE BON SAUCE POUCH 200G           ","7898971608201"
"1127713","DESP PORC E PISO EXTERNO CZ 15KG        ","3000011277139"
"1127721","DESP REJUNTE FLEX CINZA PLAT TPII1KG    ","3000011277214"
"1127730","DESP TINTA SPRAY  LUX ALTA TEM FOS 400ML","3000011277306"
"1127748","DESP SERRA BIMETAL STARRET              ","3000011277481"
"1127756","DESP VASELINA CHEMICOLOR 200ML          ","3000011277566"
"1127764","DESP PREGO ACO SC 3X8 CC POL 1KG GERDAU ","3000011277641"
"1127772","DESP REG DOCOL PRESSAO BASE 3/4         ","3000011277726"
"2165945","COOKIES LIVINHO S/GLUT GOTA CHOC ZER 30G","7898751180026"
"2165953","ROSQ LIVINHO S/GLUT CHOCOLATE 30G       ","7898751180002"
"2165961","ROSQ LIVINHO S/GLUT CHOCOLATE ZERO 30G  ","7898751180019"
"2165970","ROSQ LIVINHO S/GLUT COCO 30G            ","7898961803975"
"2165988","ROSQ LIVINHO S/GLUT COCO ZERO 30G       ","7898961803968"
