"COD","DESCRICAO","EAN"
"1692186","ESMALTE RISQUE CINT ROSAS PEROLA 8ML    ","7891182860024"
"1692194","CANECA OXFORD EASY SORT 330ML           ","7891361517442"
"1692208","CANECA OXFORD QUARTIER SORT 350ML       ","7891361517459"
"1692216","CANECA CERAM OXFORD TALL MARROM 260ML   ","7891361859122"
"1692232","JARRA PLASVALE C/TAMP+COPO 2,5L         ","7891115006536"
"1005979","CORANTE SOFTGEL AMARELO GEMA 25G        ","3000010059798"
"1005987","CORANTE SOFTGEL LARANJA 25G             ","3000010059873"
"1005995","CORANTE SOFTGEL VERDE HORT 25G          ","3000010059958"
"1006002","MIST BOLO VAPT NEGA MALUCA 5KG          ","3000010060022"
"1696548","SAND HAVAIANAS TREND VDE ALPINE 35/36   ","7895265401104"
"1696556","SAND HAVAIANAS TREND VDE ALPINE 37/8    ","7895265401111"
"1696564","SAND HAVAIANAS TREND VDE ALPINE 39/0    ","7895265401128"
"1696572","SAND HAVAIANAS TREND VDE ALPINE 41/2    ","7895265401135"
"1696580","SAND HAVAIANAS TREND VDE ALPINE 43/4    ","7895265401142"
"1696599","SAND HAVAIANAS TREND VDE MUSGO 35/6     ","7890557916335"
"1696602","SAND HAVAIANAS TREND VDE MUSGO 37/8     ","7890557916342"
"1696610","SAND HAVAIANAS TREND VDE MUSGO 39/0     ","7890557916359"
"1696629","SAND HAVAIANAS TREND VDE MUSGO 41/2     ","7890557916366"
"1696777","SAND HAVAIANAS URBAN PTO 45/6           ","7891109970294"
"1696785","SAND HAVAIANAS URBAN CAQUI ESCU 35/6    ","7891109970300"
"1696793","SAND HAVAIANAS URBAN CAQUI ESCU 37/8    ","7891109970317"
"1696807","SAND HAVAIANAS URBAN CAQUI ESCU 39/0    ","7891109970324"
"1696815","SAND HAVAIANAS URBAN CAQUI ESCU 41/2    ","7891109970331"
"1696840","SAND HAVAIANAS URBAN CAQUI ESCU 45/6    ","7891109970355"
"1696858","SAND HAVAIANAS URBAN CAQUI ESC 37/8     ","7890732221605"
"1696866","SAND HAVAIANAS URBAN CAQUI ESC/CAQ 41/2 ","7890732221629"
"1696874","SAND HAVAIANAS URBAN CAQUI ESC/CAQ 43/4 ","7890732221636"
"1690272","SAND HAVAIANAS SURF AMAR LIGHT 37/8     ","7891266078772"
"201081","BISC SEQUILHO KG                        ","20108"
"201090","BISC AMANTEIGADO KG                     ","20109"
"1693654","BEB ENERG FULL ENERGY 1L                ","7897110001811"
"1693662","SAND HAVAIANAS CARTUNISTA AZ ROYAL 33/4 ","7890541551283"
"1693670","SAND HAVAIANAS CARTUNISTA AZ ROYAL 39/0 ","7890541551313"
"1693689","SAND HAVAIANAS CARTUNISTA CAFE 33/4     ","7890732310774"
"1693697","SAND HAVAIANAS CARTUNISTA CAFE 35/6     ","7890732310781"
"1693700","SAND HAVAIANAS CARTUNISTA CAFE 37/8     ","7890732310798"
"1693212","SAND HAVAIANAS CAPRICE AREIA 37/8       ","7890732112460"
"1693220","SAND HAVAIANAS CAPRICE AREIA 39/0       ","7890732112484"
"1693239","SAND HAVAIANAS CAPRICE ARE/ROS GOLD 33/4","7891266092778"
"1693255","SAND HAVAIANAS CAPRICE ARE/ROS GOLD 35/6","7891266092785"
"1006304","NOBREAK EATON DX 2KVA                   ","3000010063047"
"201383","FILEZINHO PERDIGAO S/OSSO KG            ","20138"
"1698311","ARROZ PARB DIRETO NO PRATO 1KG          ","7898943157058"
"1698320","ARROZ BCO DIRETO NO PRATO 1KG           ","7898943157034"
"1698338","ALHO EXCELENCIA ROXO PCT 100G           ","7898928928734"
"1696637","SAND HAVAIANAS TREND VDE MUSGO 43/4     ","7890557916373"
"1697722","BALAO BRINK FEST ESTRELINHA PTO N10 C/8 ","7898521164263"
"1697730","BALAO BRINK FEST ESTRELINHA ROSA N10 C/8","7898521164256"
"1697757","CHAPEUZINHO BRINK FEST GAL BONITINHA C/8","7898521165048"
"1697765","CHAPEUZINHO BRINK FEST BOLINHAS C/8     ","7898521161163"
"1697773","PAPEL BALA BRINK FEST PRETO C/48        ","7898064374211"
"1697781","PAPEL BALA BRINK FEST AZULAO C/48       ","7898064374242"
"1697790","PAPEL BALA BRINK FEST LARANJA C/48      ","7898064374198"
"1697803","POTE DESC BRINK FEST AZULAO 12CM C/10   ","7898064376109"
"1696882","SAND HAVAIANAS URBAN CZA GELO 37/8      ","7890732221544"
"1697080","SH INF PHISALA GALINHA PINTAD 230ML     ","7898157615665"
"1007866","SUPORTE P/TV LED/LCD/PLASMA             ","3000010078669"
"1007947","DESP BOBINA PICOTADA 20X60              ","3000010079475"
"1698354","SOPA VONO TURMA MONICA GALINHA 60G      ","7891132007332"
"1698362","SOPA VONO TURMA MONICA LEGUMES 60G      ","7891132007325"
"1698370","BORRACHA MOLIN ANIMAL SERIES C/2        ","7898538299903"
"1698389","BORRACHA MOLIN AVENGERS C/2 22260       ","7898538292874"
"1698397","BORRACHA MOLIN HELLO KITTY C/2 21660    ","5601229875407"
"1693719","SAND HAVAIANAS CARTUNISTA CAFE 39/0     ","7890732310804"
"1693727","SAND HAVAIANAS CARTUNISTA FLORESTA 35/6 ","7890732310842"
"1693735","SAND HAVAIANAS CARTUNISTA FLORESTA 37/8 ","7890732310859"
"1693743","SAND HAVAIANAS CARTUNISTA FLORESTA 39/0 ","7890732310866"
"1693751","SAND HAVAIANAS CARTUNISTA FLORESTA 41/2 ","7890732310873"
"1693760","SAND HAVAIANAS CARTUNISTA ROYAL 39/0    ","7890541838049"
"1693778","SAND HAVAIANAS CARTUNISTA VDE BAND 35/6 ","7890541838087"
"1693786","SAND HAVAIANAS CARTUNISTA VDE/OLIVA 39/0","7890541551436"
"1693794","SAND HAVAIANAS CASUAL ABOBORA 35/6      ","7895265318143"
"1698346","SOPA VONO TURMA MONICA CARNE 60G        ","7891132007349"
"1698427","AP BARBEAR SIMPLY VENUS 3 ROSA C/2      ","7702018072392"
"1698435","BORRACHA MOLIN SPIDER MAN C/2           ","5601229856970"
"1698443","BORRACHA MOLIN THE STYLE C/2            ","7898538299880"
"1698460","CANETA BIC CRISTAL FINA 0.8 AZ/VM/PT C/3","70330144507"
"1698478","DESP CORRETIVO BIC ECOLUTIONS 18ML      ","70330506084"
"1698478","DESP CORRETIVO BIC ECOLUTIONS 18ML      ","70330506091"
"1698508","GIZ CERA ACRILEX C/12 CORES 48G         ","7891153011516"
"1698508","GIZ CERA ACRILEX C/12 CORES 48G         ","7891153090122"
"1698516","MARCADOR TEXTO MOLIN AMARELO C/1        ","5601229026793"
"1698524","MARCADOR TEXTO MOLIN VERDE C/1          ","5601229026823"
"1697811","PRATO BRINK FEST DESC LILAS 15CM C/10   ","7898521161989"
"1697820","PRATO BRINK FEST DESC PINK 15CM C/10    ","7898521163501"
"1697838","PRATO BRINK FEST DESC LARANJA 15CM C/10 ","7898521163518"
"1697846","PRATO BRINK FEST DESC AZULAO 15CM C/10  ","7898064378967"
"1697854","CONVITE ANIV BRINK FEST BOLINHAS C/08   ","7898521161132"
"1697862","CONVITE ANIV BRINK FEST GAL BONITA C/08 ","7898521165055"
"1697870","CONVITE ESP BRINK FEST 15 ANOS C/10     ","7898064379650"
"1697889","CONVITE ANIV BRINK FEST FELIZ ANIV C/08 ","7898521162665"
"1697897","CONVITE BRINK FEST CASAMENTO C/10       ","7898521161804"
"1698419","BORRACHA MOLIN POP ART C/2              ","7898538299866"
"1698540","MARCADOR MOLIN CD/DVD PRETO 4051        ","8000825805431"
"1698559","MASSA MODELAR ACRILEX C/6 60G           ","7891153012728"
"1698567","CESTO RAINHA P/PRENDEDOR BCO REF7154    ","7896679771548"
"1698575","CESTO RAINHA QUAD C/ALCA 13L REF8159    ","7896679781592"
"1698583","CESTO RAINHA RED C/ALCA 14L REF8158     ","7896679781585"
"1698591","CESTO MB TELADO C/TAMP 30L REF0256      ","7897698202563"
