"COD","DESCRICAO","EAN"
"2036622","MASSA MODELAR KOALA C/6 CORES DELTA 60G ","3000020366220"
"1071513","DESP FITA VIAPOL VIAFLEX 20X10          ","3000010715137"
"2041235","TACA UZ TANGO TRANSP 350ML              ","7895155767259"
"2041243","TACA UZ TANGO VERM TRANSP 350ML         ","7895155767280"
"2041316","COPO INKPLAS LONG DRINK JATEADO LARANJA ","7893595602024"
"1073729","DESP INT 1 TECL C/TOM 2P+T 10A LUX 2    ","3000010737290"
"1073770","DESP BUCHA CABINE                       ","3000010737702"
"1073826","DESP BOMBA DO DRENO K7                  ","3000010738266"
"2046067","VINAGRE ROSANI LIMAO 500ML              ","7898434400137"
"2046067","VINAGRE ROSANI LIMAO 500ML              ","17898434400134"
"1074288","DESP MANGUEIRA 01 LONA SAE100 R6 3/8    ","3000010742881"
"2046245","HAMBURGUER SEARA VEG ERVILHA CARNE 226G ","7894904237999"
"1074261","DESP MANGUEIRA CAVALETE MOTOR MWM D229  ","3000010742614"
"1074270","DESP ABRACADEIRA P/MANGOTE FLAUTA DAGUA ","3000010742706"
"2046253","FEIJAO CARIOCA DONA DE 1KG              ","7898922012019"
"2046261","FEIJAO PRETO DONA DE 1KG                ","7898922012026"
"2046873","BALEIRO SANREMO HERMETICO 2,2L          ","7896359010806"
"2046881","CESTO SANREMO PLASTICO 30L              ","7896359015573"
"2046890","CESTO SANREMO PLASTICO BRANCO 30L       ","7896359017751"
"2047292","REFRIG SPRITE LEMON FRESH 510ML         ","7894900680508"
"2047292","REFRIG SPRITE LEMON FRESH 510ML         ","17894900680512"
"1074300","DESP ABRACADEIRA S/FIM F9 1216 1/2-5/8 A","3000010743000"
"2046954","ACUCAR MASCAVO MINAMEL 500G             ","7896396002970"
"2046555","VINHO SAN MARTIN TINT SUAVE 1,9L        ","7896267703951"
"1074296","DESP AGUA DESMINERALIZADA 1L            ","3000010742966"
"2046300","BARRA FRUT SUPINO ZERO PAST AMENDOIM 24G","7896798603010"
"2046300","BARRA FRUT SUPINO ZERO PAST AMENDOIM 24G","17896798603031"
"2046318","REMOVEDOR ESMALTE FARMAX 100ML          ","7896902209114"
"2046326","AGUA OXIG CREM FARMAX 40V 90ML          ","7896902210646"
"2046342","AGUA OXIG CREM FARMAX 20V 90ML          ","7896902210561"
"2046350","AGUA OXIG CREM FARMAX 30V 90ML          ","7896902210608"
"2046369","BARRA CER NUTS BAR MORANGO/CHOC BC 25G  ","7896798602983"
"2046091","FILEZINHO FGO SUPER FRANGO SASSAM PC 1KG","7898040082116"
"2046849","SALGADINHO CHEEZ IT QUEIJO PARMESAO 115G","7896004007052"
"2046849","SALGADINHO CHEEZ IT QUEIJO PARMESAO 115G","27896004007056"
"2046857","SALGADINHO CHEEZ IT QUEIJO PROVOLON 115G","7896004007076"
"2046857","SALGADINHO CHEEZ IT QUEIJO PROVOLON 115G","17896004007073"
"2046865","CHOCOTTONE BAUDUCCO BITES 107G          ","7891962061986"
"2046865","CHOCOTTONE BAUDUCCO BITES 107G          ","17891962061983"
"211605","QUEIJO MUSSARELA BIANA KG               ","21160"
"1074318","DESP FURADEIRA IMP 600W 13MM 220V       ","3000010743185"
"1074326","DESP TOMADA SOB 5P 32A 380/440V VERM    ","3000010743260"
"1074334","DESP COPO NESTLE PAPEL 7G               ","3000010743345"
"2047411","SAND IPANEMA CLASS FEM BRANCO/BRANCO    ","7909510489417"
"2046202","VINAGRE ROSANI MACA 500ML               ","7898434400014"
"2046202","VINAGRE ROSANI MACA 500ML               ","17898434400011"
"2046210","LEITE COND VITAO ZERO VD 200G           ","7896063281967"
"2046210","LEITE COND VITAO ZERO VD 200G           ","97896063281953"
"2046393","BARRA PROT VO2 INT FRUT VERM/IOGURTE 30G","7896311706570"
"2047403","SAND IPANEMA CLASS INF LARANJA/ROSA FLUO","7909510493018"
"211621","MILHO VERDE NORDESTE BDJ KG             ","21162"
"5150","MILHO VERDE NORDESTE C/CASCA UND        ","515"
"2047691","OVOS TIJUCA CAIPIRA GDE C10             ","7898959029950"
"1074466","DESP ADOC LINEA SAC 6G C/500            ","3000010744663"
"2046563","DESP LUVA VINIL TALGE C/PO G C/100      ","7898941898069"
"2046962","PAPEL HIG BAMBINO FOLH DUP NEUTRO 12X20M","7896053411237"
"2047560","KIT SUP FITOWAY WHEY CHOC+BCAA+CREATINA ","7898583668495"
"2047713","SH ANTIC CLEAR MEN LIMPEZA PROFUND 400ML","7891150019416"
"2048094","ACAFRAO BEM ESTAR PURO SCH 100G         ","7893590207262"
"2048116","ACAFRAO BEM ESTAR PURO PT 60G           ","7893590207248"
"2048124","ALHO BEM ESTAR FRITO POTE 50G           ","7893590207347"
"2046636","BISC RECH AMORI CHOCOLATE 80G           ","7891152800975"
"2046636","BISC RECH AMORI CHOCOLATE 80G           ","17891152800972"
"2046652","BISC RECH AMORI MORANGO 80G             ","7891152800982"
"2046652","BISC RECH AMORI MORANGO 80G             ","17891152800989"
"1074156","DESP SACOLA PARCERIA BCA                ","9386"
"1074156","DESP SACOLA PARCERIA BCA                ","3000010741563"
"2047144","SEMENTE CHIA GERMINA 100G               ","7898905078100"
"1074342","DESP CHAVE FENDA 1/4 X 5                ","3000010743420"
"1074369","DESP TORN BM LAV/MESA 1/2 BA CR FOZ 1/4 ","3000010743697"
"1074377","DESP CHAVE ING 08                       ","3000010743772"
"1074385","DESP CHAVE PHILLIPS 1/4X5               ","3000010743857"
"2047519","BEB ENERG RED BULL SUGAR FREE 355ML     ","9002490243678"
"2047527","BEB MISTA SKOL BEATS ZOD AR LT 269ML    ","7891991297615"
"2047543","KIT SUP FITOWAY WHEY BAUN+BCAA+CREATINA ","7898583668488"
"2046237","CHOC BARRA VITAO ZERO BRANCO 22G        ","7896063280427"
"1074245","DESP FILTRO AR                          ","3000010742454"
"1074210","DESP MOTORCRAFT MB5A 5W30AA             ","3000010742102"
"1074229","DESP ELEMENTO AR                        ","3000010742294"
"1074237","DESP LAMP 12V                           ","3000010742379"
"1074253","DESP FONTE MICR NTC                     ","3000010742539"
"2046172","VINAGRE ROSANI ARROZ 500ML              ","7898434400120"
"2046172","VINAGRE ROSANI ARROZ 500ML              ","17898434400127"
"2047039","OLEO GERMINA GIRASSOL 80ML              ","7898905079664"
"2046385","BARRA PROT VO2 INT CHOCOLATE 30G        ","7896311706549"
"2046903","ORGANIZADOR SANREMO PLAST 13,5L         ","7896359008834"
"2047055","GERGELIM GERMINA BCA DESCASCADO 200G    ","7898905078193"
"1074172","DESP ABRACADEIRA ACO LAMP FLUOR         ","3000010741723"
"1074180","DESP LAMP LED T8 18W 3000K G13          ","3000010741808"
"1074199","DESP BASE G13 LAMP FLUOR                ","3000010741990"
"2046423","SAB LIQ NIVEA CREME CARE REF 200ML      ","4005900734082"
"2046431","SAB LIQ NIVEA CREME SOFT 200ML          ","4005900734068"
"2046440","SAB LIQ NIVEA ERVA DOCE 200ML           ","4005900734075"
"1074415","DESP PAPEL TOAL 1500FLS BCO             ","3000010744151"
"2047853","APERITIVO REGINA HOT WINGS CHU CONG 700G","7898249772177"
"2047853","APERITIVO REGINA HOT WINGS CHU CONG 700G","17898249772174"
"2046970","MINGAU PIRACANJUBA ARROZ/AVEIA SH 180G  ","7898215157274"
"2046989","MINGAU PIRACANJUBA BAN/MACA SH 180G     ","7898215157281"
"2047233","SAND IPANEMA CLASS MASC VERDE/VERDE     ","7909510493476"
"2047241","SAND IPANEMA CLASS MASC BORDO/AZUL      ","7909510493551"
"2047250","SAND IPANEMA CLASS INF ROSA/ROSA        ","7909224792186"
"2047276","GRAMPEADOR TRIS METAL 26/6 20FLS PRETO  ","7897476665146"
"2047284","PILHA TOSHIBA RECARREG AA PEQUENA C/2   ","4904530594724"
"2047489","COX ASA FGO REGINA CH FAC TEMP CONG 700G","7898249772160"
"2047489","COX ASA FGO REGINA CH FAC TEMP CONG 700G","17898249772167"
"2046580","TIGELA DUP P/PREPARO COLOR 8,5L         ","7898964422890"
"2047837","TIGELA MEU PET RETRATIL SILICONE 13CM   ","7896943292601"
"211648","CARRE SUINO FRIBAL CONG PEDACO KG       ","21164"
"2047896","BEBEDOURO MEU PET PORTATIL SORTIDO      ","7896943243948"
"2047900","COMEDOURO MEU PET OSSO DUPLO 24X13X3,5CM","7896943265018"
"2047918","COMEDOURO MEU PET ACO COL 16,5X16,5X4,5 ","7896943265032"
"2047926","COLEIRA MEU PET COURO SINTETICO TAM G   ","7896943264714"
"2047934","COLEIRA MEU PET C/LENCO TAM P           ","7896943264660"
"2047942","COLEIRA MEU PET C/LENCO TAM M           ","7896943264677"
"2046407","DES AERO REXONA NOW UNITED 90G          ","7891150063204"
"2047950","COLEIRA MEU PET COURO SINTETICO TAM P   ","7896943264691"
"2047969","COLEIRA MEU PET COURO SINTETICO TAM M   ","7896943264707"
