"COD","DESCRICAO","EAN"
"1845497","REFRESCO FRESH CAJU 10G                 ","7622300999223"
"1845500","REFRESCO FRESH GUARANA 10G              ","7622300999261"
"1845519","REFRESCO FRESH LIMAO 10G                ","7622300999346"
"1845527","REFRESCO FRESH MANGA 10G                ","7622300999384"
"1845535","REFRESCO FRESH TANGERINA 10G            ","7622300999506"
"1031864","DESP BANDEJA B1 C/400                   ","3000010318642"
"1031872","DESP BANDEJA B2 C/400                   ","3000010318727"
"1031880","DESP BANDEJA B3 C/400                   ","3000010318802"
"1843141","CHUPETA NUK FREESTY 18+M AZUL R739206-3B","7896098809921"
"1843150","CHUPETA NUK GEN 18+M BCO/AZUL R729335-3A","7896098804094"
"1843168","CHUPETA NUK CLAS DEC 6+M R735345-2A     ","7896098803318"
"1843176","CHUPETA NUK CLAS DECOR 0-6M R729636-1A  ","7896098805077"
"1843443","PORTA ESCOVA SANTA CLARA 1720           ","7897169217201"
"1031848","UNID COND SPRINGER MIDEA 9.000 BTU/H FR ","3000010318482"
"1031856","UNID EVAP HW SPRING MIDEA 9000 BTU/H FR ","3000010318567"
"1847619","POLPA FRU POMAR DA POLPA POT ACA/M 200ML","7898561340160"
"1847627","MORTADELA BOVINA FRIATO 1KG             ","7896733300288"
"1846043","FILE PEITO FGO DA GRANJA CONG 1KG       ","7894904685691"
"1847651","FILEZINHO FGO SASSAMI PIONEIRO BDJ 1KG  ","7898228060141"
"1032399","PERFIL ALUMINIO TECH SCREEN SUP         ","3000010323998"
"1032437","TOMADA EMB SIMPLES 20A STYLUS           ","3000010324377"
"1032445","DESP CAR FRUIT FULL SORT 840G           ","3000010324452"
"1032453","DESP CHOCOLATE LARANJA                  ","3000010324537"
"1032461","KIT 5PCS METAL CROMADO                  ","3000010324612"
"1032470","DESP CHUVEIRO 1/2 ARTICULADO SAFIIRA    ","3000010324704"
"1032488","XICARA CAPPUCCINO 3 CORACOES FOOD SERV  ","3000010324889"
"1845225","CHOC BARRA CRUNCH 115G                  ","7891000111673"
"1845233","SOPAO MAGGI GALINHA 600G                ","7891000116395"
"1845241","ALICATE P/UNHAS MERHEJE BASIC LILAS     ","7896075711971"
"1845250","LING TOSC PAMPLONA 1KG                  ","7896716309406"
"1031570","LEITOR CCD CPX10 SLIN USB               ","3000010315702"
"1847198","CALCULADORA SHENG TS-3822B              ","6932177472257"
"1847201","CALCULADORA SHENG TS-9368A              ","6932177468656"
"1847210","GLITTER GLINORTE VERMELHO 3,5G          ","7898012291119"
"1847228","GLITTER GLINORTE PEROLADO 3,5G          ","7898012290990"
"1847228","GLITTER GLINORTE PEROLADO 3,5G          ","7898012298309"
"1845055","LEITE UHT ITALAC INT 1L                 ","7898080640017"
"1846051","SH INF JOHNSONS BABY NEUTRO 750ML       ","7891010027858"
"1846060","KIT SH+COND JOHNSONS BABY NEUT 400+200ML","7891010897819"
"1846078","BICO MAMADEIRA ORTO LILLO 0-6M C/2      ","7896033251013"
"1846086","TINT NUTRISSE CACHOS 1.0 PRETO          ","7899706142953"
"1846094","TINT NUTRISSE CACHOS 8.1 LOUR CLAR CINZA","7899706142960"
"1846108","TINT NUTRISSE CACHOS 4.66 CAST VERM INTE","7899706142984"
"1846116","SAB DOVE CREMOSO C/2 PRECO ESP          ","7891150046450"
"205583","TENDER SUINO AURORA KG                  ","20558"
"1847635","CAFE SOLUV NESCAFE ORIG EXTR LV60PG50G  ","7891000242698"
"1847643","CAPSULA NESCAFE DOLCE NESCAU CX C/16    ","7891000118924"
"1031945","DESP CABO FORCA                         ","3000010319458"
"1031953","DESP CABO VGA                           ","3000010319533"
"1031961","RECEIVER                                ","3000010319618"
"1031970","CESTO P/SAB PROTEX 130G                 ","3000010319700"
"1032020","DESP ELETRODUTO RIGIDO 1.1/2 VRA C/3MT  ","3000010320201"
"1032038","DESP CURVA P/ELETRODUTO 180X1.1/2       ","3000010320386"
"1032046","DESP CURVA P/ELETRODUTO 90X1.1/2 TIGRE  ","3000010320461"
"1032496","XICARA CAPPUCCINO SANTA CLARA FOOD SERV ","3000010324964"
"1032500","PORTA GUADANAPO C/CANUDO SANTA CLARA    ","3000010325008"
"1032518","LACRE EPROM MFD FS600FS700              ","3000010325183"
"1032526","MFD FS600 128MB                         ","3000010325268"
"1032534","DESP ARAME EPROM                        ","3000010325343"
"1032542","DESP ARREMATE PVC 6,00M BCO             ","3000010325428"
"1032577","DESP DUCHA D 12 C/50                    ","3000010325770"
"1850296","PILHA PANASONIC ULTRA HYPER AAA LV8PG6  ","7896067203125"
"1850326","RACAO FRISKIES DELICIA FAZENDA 3KG      ","7891000032664"
"205516","LANCHE FRANGO WILSON KG                 ","20551"
"205524","LOMBO SEARA TIPO CANADENSE DEF KG       ","20552"
"205532","SALSICHA FRANGO SEARA KG                ","20553"
"1844008","COXA SOBREC FRANGO SEARA GRANJA BDJ KG  ","1840"
"1844032","INSET ELET LIQ MAT INSET LV60PG45 28ML  ","7897664168688"
"1844040","MANDIOCA SUPREME SEARA CONG 600G        ","7894904929955"
"1847236","MINGAU MUCILON ARROZ SH 230G 30G GTS    ","7891000120583"
"1847244","GLITTER GLINORTE VERDE 3,5G             ","7898012291102"
"1847279","BOMBONS LACTA SONHO VALSA 451,5G        ","762210664259"
"1847279","BOMBONS LACTA SONHO VALSA 451,5G        ","7622210664259"
"205591","FILEZINHO SUINO AURORA RECH KG          ","20559"
"1846132","ACHOC PO ITALAC ZERO 210G               ","7898080640840"
"1846140","LEITE PO INT ITALAC SCH 1KG             ","7898080641267"
"1846159","BISC CLUB SOCIAL INT TRAD 96G           ","7622300999698"
"1846167","BISC CLUB SOCIAL ORIGINAL 96G           ","7622300999735"
"1846175","KIT SH+COND TURM ANJINHOS CAB NEUT 220ML","7898370422552"
"1846183","ESC DENT COLGATE WHITENING LV2PG1 MACIA ","7891024013540"
"1846191","SAB LIQ PALMOLIVE NATURALS ALOE VE 250ML","7891024033456"
"1031899","DESP FILME PVC 38/1000MTS               ","3000010318994"
"205605","AVE CELEBRAR BONASA KG                  ","20560"
"1032054","LUVA P/ ELETRODUTO RIG 1.1/2 PLASTUBE   ","3000010320546"
"1032062","DESP ABRACADEIRA ACO TIPO D 1.1/2       ","3000010320621"
"1032070","REX TRIFASICO P/04 ROLDANAS             ","3000010320706"
"1032089","QUADRO TRIFASICO EXTERNO TAF            ","3000010320898"
"1032097","HASTES ATERRAMENTO COBRADA 2,0MT        ","3000010320973"
"1032100","KIT PARAFUSO P/MAMADEIRA 4,8X65 C/BUCHA8","3000010321000"
"1032119","DESP DISJUNTOR TRIFASICO 40A ELETROM    ","3000010321192"
"1032127","DESP CABO FLEXIVEL 6,0MM PCA FECHADA    ","3000010321277"
"1850334","CADERNO FORONI BROCH BARBIE 60FLS       ","7899264309539"
"1850342","CADERNO JANDAIA CARTOG FROZEN 96FLS CD  ","7894494598425"
"1850997","CADERNO PANAMERICANA 1/4 PAISAG 96FLS CD","7898285031498"
"1851012","CADERNO SAO DOM SILVER 12MAT 240FLS CD  ","7891321034057"
"1851020","CADERNO SAO DOM SISSI 12MAT 240FLS      ","7891321036150"
"1851047","CADERNO PANAMERICANA AIRCRAF 1MAT 96F CD","7898285017164"
"1851055","CADERNO SAO DOM CRISTO 100 1MAT 96FLS CD","7891321043103"
"1851063","CADERNO SAO DOM PRETTY GIRL 1MAT 96F CD ","7891321034958"
"1851071","CADERNO SAO DOM WALKING DEAD 1MAT 96F CD","7891321037355"
"1845616","ROUPA INT DESC PLENITUD ACT PLU P/M C/16","7896007547203"
"1847287","CADERNO PANAMERICANO ONLY 96FLS CD      ","7898285030941"
"1847309","DES AERO REXONA FEM ACTIVE EMOTION 90G  ","7791293032443"
"1847317","DES AERO REXONA FEM POWDER 90G          ","7791293032436"
"1847325","DES AERO REXONA FEM S/PREFUME 90G       ","7791293032368"
"1847520","FIGADO FRANGO CONG PIONEIRO BDJ 1KG     ","7898228062602"
"1847953","SAB LIFEBUOY ERVA DOCE 85G              ","7891150036758"
"1847970","REFRESCO TANG LARANJA/LIMAO 25G         ","7622210655585"
"1847988","COXINHA ASA FGO SEARA 1KG               ","7894904018246"
"1031317","DESP CERAMICA CRISTAL ELIZABETH 34X34   ","3000010313173"
"1031325","REJUNTE COLAMIX CINZA FLEXIVEL 5KG      ","3000010313258"
"1031902","DESP B4 180L PINTADO S/PORTA BEBE ROD   ","3000010319021"
"1031929","PORTA CESTINHAS SIMP ZINCADO ROD CAR    ","3000010319298"
"1031937","PORTA CESTINHA DUPLO ZINCADO ROD CAR    ","3000010319373"
"1847732","CHOC BATON GAROTO AO MGO 16G            ","78936911"
"1847732","CHOC BATON GAROTO AO MGO 16G            ","7891008238969"
