"COD","DESCRICAO","EAN"
"1740334","PRATO YANGZI INF FUNDO REF1859          ","7898420981145"
"1740342","TIGELA YANGZI STANDART C/TAMPA REF1035  ","7898420970385"
"1742086","DESCRAVADOR CURTICULA MERHEJE C/1       ","7896075711346"
"1742094","RASPADOR UNHAS MERHEJE                  ","7896075711360"
"1742108","ESPATULA UNHAS/CUTIC MERHEJE PROF CLUB  ","7896075707219"
"1745131","ROUPEIRO CAMY PLAST 110L REF608         ","7898185434511"
"1745140","GAR ARCAPLAST 1,4L REF201               ","7898933991013"
"1745166","AMASSADOR INOX YANGZI BATATA REF1416    ","7899655011973"
"1746030","DETERG LIQ VEJA LIMAO/MENTA 400ML       ","7891035260247"
"1746049","DETERG LIQ VEJA MACA/ERVA DOCE 400ML    ","7891035260223"
"1746057","SILICONE CAP NIELY GOLD MAX NUTR 42ML   ","7896000716835"
"1748270","FACA INOX TRAMONTINA 3 ATHUS R23099/884 ","7891112112162"
"1748289","FILME PVC FASFILME 28X15CM 15MT         ","7898902774012"
"1748297","POTE TIBA GEOMETRICO 1100ML             ","7896103449029"
"1748300","POTE TIBA GEOMETRICO 1600ML             ","7896103449012"
"1748319","CORANTE REGINA AZUL 10ML                ","7891175003018"
"1748327","GAR TERM INVICTA VERMELHO 5L            ","7891691187056"
"1748408","CORRETIVO CANETA BIC 8ML                ","70330506947"
"1014765","DESP ADAPTADOR 25 X 3/4                 ","3000010147655"
"1014773","GATILHO BRANCO P/DUCHA LEONE            ","3000010147730"
"1745808","MINI KIT FLUOR TASCHIBRA 1W             ","7897079003963"
"1745816","MINI KIT TASCHIBRA C/SENSOR 220V        ","7897079035698"
"1745824","BEB LACTEA NESCAU SHAKE 270ML           ","7891000101926"
"1745832","VITAMINA INST NESTON MAM/MAC/BAN 210G   ","7891000101674"
"1745840","BISC INT NESFIT MIX GERGELIM 126G       ","7891000104231"
"1745859","CERA DEPI ROLL QUENTE TRAD 250G         ","7898903925352"
"1745875","ARROZ PARB BOM NO PRATO 1KG             ","7898902428489"
"1745891","ESPONJA BANHO BETTANIN BETA LV3PG2      ","7896001046733"
"1745905","SAB REXONA ANTIBAC FRESH AZUL ESC 84G   ","7891150034952"
"1740350","TIGELA YANGZI STANDART C/TAMPA REF1064  ","7898420970378"
"1740369","SALADEIRA YANGZI STANDARD 25CM REF1587  ","7898420972556"
"1740385","PRATO YANGZI INF C/DIVISORIA REF1862    ","7898420981176"
"1740393","TIGELA YANGZI INF PEIXE REF1863         ","7898420981183"
"1740415","CORTADOR INOX YANGZI FECHA MASSA R3773  ","7898452488407"
"1740423","JOGO AMERICANO YANGZI RED 30CM REF9866  ","7898452498253"
"1740431","ESPATULA YANGZI FLEX REF11150           ","7898516893291"
"1740440","PINCEL YANGZI FLEX REF11151             ","7898516893307"
"1740458","RAPA TUDO YANGZI FLEX REF11152          ","7898516893314"
"1746847","SH FRUCTIS APAGA DANOS 200ML            ","7899706110365"
"1746855","COND FRUCTIS APAGA DANOS 200ML          ","7899706110402"
"1746863","CR TRAT FRUCTIS APAGA DANOS 300G        ","7899706110464"
"1746871","CR PENT FRUCTIS APAGA DANOS 250ML       ","7899706110440"
"1746880","COPO CISPER MANHATTAN ROCKS 318ML       ","7891017001011"
"1746898","TIGELA CISPER FRUTTI AZUL REF54230      ","7891017001981"
"1746901","CHARQUE PARAISO DIANT 500G              ","7898928546372"
"1746910","JARRA CISPER STYLO 1,5L REF15650        ","7891017012925"
"1746928","POTE VD CIV PRATIK LISO 2L              ","7898007755800"
"1014781","PORTA SANFONADA PRATICA 60CM            ","3000010147815"
"1014790","DESP TE ESGOTO 40MM                     ","3000010147907"
"1014811","DESP ALICATE BICO MEIA CANA 6 TRAMOTINA ","3000010148119"
"1014838","TELA MOSQ SOLDAVEL VERDE 50X50          ","3000010148386"
"1748483","AZEITE OLIV NOVA OLIVA EXT VIRG GF 250ML","7804630540119"
"1748491","AZEITE OLIV NOVA OLIVA EXT VIRG GF 500ML","7804630540041"
"1748505","DISPLAY TUFFIT GT CARRINHOS C/10        ","7891091065152"
"1748513","LEITE FERM ACTIVIA FAMIL AMEIXA 1,35KG  ","7891025104162"
"1748521","LEITE FERM ACTIVIA FAM MORANGO 1,35KG   ","7891025700371"
"1745913","BARRA SEMENTES LEVITTA GERG/CHIA C/3 30G","7896798601665"
"1746065","VASILHAME CERV HNK PILSEN LN 300ML      ","3000017460658"
"1746073","TEMP MAIS SABOR CAMARAO 60G             ","7891095022953"
"1746090","SUCO DAFRUTA LARANJA 500ML              ","7896005400074"
"1746103","SUCO DAFRUTA CAJU 1L                    ","7896005401804"
"1746111","SUCO DAFRUTA GOIABA 1L                  ","7896005401842"
"1746120","SUCO DAFRUTA REFRESH GOIABA TP 1L       ","7896005402078"
"1746138","SUCO DAFRUTA REFRESH LARANJA TP 1L      ","7896005402092"
"1746146","SUCO DAFRUTA REFRESH MANGA TP 1L        ","7896005402085"
"1740474","PRATO YANGZI INF RED C/3 DIVISOR R1015  ","7898420970491"
"1740482","TIGELA YANGZI RED STANDARD REF1014      ","7898420970323"
"1740946","MASSA PASTEL/LASANHA TRIGTALY 500G      ","7898013700115"
"1740970","CERV BRAHMA CHOPP ZERO LN 355ML         ","7891149104956"
"1740970","CERV BRAHMA CHOPP ZERO LN 355ML         ","7891149104963"
"1740997","PIZZA TRIGTALY MISTA 400G               ","7898013700320"
"1741004","PIZZA BONINA MISTA 300G                 ","7897041000532"
"1741012","PIZZA BONINA MUSSARELA 300G             ","7897041000525"
"1741020","BALA 7 BELO FRAMBOESA 700G              ","7891118007295"
"1746936","CANECAO CAFE WHEATON BARROCO            ","7891240028120"
"1746944","CJ TACA WHEATON VINHO BARROCO 3PCS      ","7891240027604"
"1746952","GALHETEIRO WHEATON C/TAMPA              ","7891240023767"
"1746960","TIGELA CIV VERECO AZUL MDEIA 17CM       ","7891017021330"
"1746979","PRATO CIV VERECO RASO AZUL 23,5CM       ","7891017021323"
"1746987","PRATO CIV VERECO RASO AMBAR 23,5CM      ","7891017021385"
"1746987","PRATO CIV VERECO RASO AMBAR 23,5CM      ","7891017022344"
"1746995","PRATO CIV VERECO SOBREM AMBAR 19CM      ","7891017021378"
"1746995","PRATO CIV VERECO SOBREM AMBAR 19CM      ","7891017022351"
"1747002","POTE VD CIV DEC PETTIT FLORAL R352      ","7898007750355"
"1747010","CJ MULTIUSO CIV DECORADO 7PCS           ","7898007750331"
"1748530","LAMP FLUOR FIAT LUX ESPIRAL 20W         ","7896007902385"
"1748530","LAMP FLUOR FIAT LUX ESPIRAL 20W         ","7896007942381"
"1748548","LAMP FLUOR FIATLUX ESPIRAL 25W          ","7896007942787"
"1748556","LAMP FLUOR FIATLUX ESPIRAL 15W          ","7896007942183"
"1748564","LAMP FLUOR FIATLUX ESPIRAL 11W          ","7896007942985"
"1748572","LAMP FLUOR FIAT LUX 3U 20W              ","7896007962389"
"1748572","LAMP FLUOR FIAT LUX 3U 20W              ","7896007992386"
"1748580","LAMP FLUOR FIAT LUX 3U 15W              ","7896007962181"
"1748580","LAMP FLUOR FIAT LUX 3U 15W              ","7896007972180"
"1748580","LAMP FLUOR FIAT LUX 3U 15W              ","7896007992188"
"1748599","LAMP FLUOR FIATLUX 3U 11W               ","7896007922987"
"1015419","DESP BROXA COMUM 935 PQ                 ","3000010154196"
"1015427","DESP BROXA RETNGULAR 930 GD             ","3000010154271"
"1746154","SUCO DAFRUTA REFRESH UVA TP 1L          ","7896005402061"
"1746162","SUCO DAFRUTA REFRESH MEXERICA TP 1L     ","7896005402054"
"1746170","SUCO DAFRUTA REFRESH LIMAO TP 1L        ","7896005402047"
"1746189","SUCO DAFRUTA REFRESH ABACAXI TP 1L      ","7896005402238"
"1746197","SUCO DAFRUTA REFRESH MACA TP 1L         ","7896005402245"
"1746200","SUCO DAFRUTA REFRESH CAJU TP 1L         ","7896005402252"
"1746235","SUCO DAFRUTA GUARANA 1L                 ","7896005402191"
"1746243","SUCO DAFRUTA GROSELHA 1L                ","7896005402184"
"1746251","SUCO DAFRUTA MATE TRAD 1L               ","7896005402207"
"1741039","BALA MIEL RECHEADA MEL 810G             ","7790580343408"
"1741047","GOMA MASC BIG BIG HORTELA 400G          ","7891118012022"
"1741055","GOMA MASC BIG BIG MORANGO 400G          ","7891118012046"
"1741063","GOMA MASC BIG BIG TUTTI FRUTTI 400G     ","7891118012015"
"1741080","GOMA MASC FLICS EXTRA FORTE 17G         ","7891118007868"
"1741098","GOMA MASC FLICS HORTELA 17G             ","7891118007837"
"1741101","GOMA MASC FLICS TUTTI FRUTTI 17G        ","7891118007820"
"1741110","GOMA MASC POOSH MORANGO 240G            ","7891118008155"
"1741128","GOMA MASC POOSH HORTELA 240G            ","7891118008148"
"1758322","CHA ICETEA LEAO FUZE LIMAO 300ML        ","7891098040039"
"1758330","CHA ICE TEA LEAO ZERO FUZE LIMAO 300ML  ","7891098040022"
"1758349","CHA ICE TEA LEAO FUZE PESSEGO 300ML     ","7891098040015"
"1758357","CHA ICE TEA LEAO ZERO PESSEGO FUZE 300ML","7891098040008"
"1758365","BRINQ ONIBUS BRINQUEMIX CHAMPIONS R035  ","7898933076475"
"1758381","SH+COND PROCAO LIMP PROF 2EM1 500ML     ","7897520009193"
"1758390","SH PROCAO FILHOTE MACIEZ HIDRAT 500ML   ","7897520013039"
"1758403","SH PROCAO NEUTRO LIMP PROF 500ML        ","7897520009124"
"1758411","SH PROCAO PELOS CLAROS 500ML            ","7897520009162"
"1016717","TAPETE MULTI ROSA 45X60 TRAMA           ","3000010167172"
"1016725","TAPETE MULTI CZA 45X60 TRAMA            ","3000010167257"
"1016733","TAPETE VINILART 40X60 DIVERSO           ","3000010167332"
"1016741","DESP ESCADA 7DEGRAUS ALUM STAR ART      ","3000010167417"
"1751956","PAPEL ALUMINIO PRATIK 30CMX4,0M         ","7896480636739"
"1751964","PAPEL ALUMINIO PRATIK 45CMX4,0M         ","7896480636722"
"1751972","PAPEL MANTEIGA PRATIK 30CMX4,0M         ","7896480636746"
"1751980","FILME PVC PRATIK 28CMX15M               ","7896480633264"
"1751999","FILME PVC PRATIK 28CMX30M               ","7896480633271"
"1754149","SAND IPANEMA FEM FLIP ROSA/PTO          ","7909171320104"
"1754157","SAND IPANEMA FEM FLIP ROSA/VERM         ","7909171320166"
"1754165","SAND IPANEMA FEM FLIP ROXO/ROSA         ","7909171336785"
"1754173","SAND IPANEMA FEM FLIP ROSA/VDE          ","7909171336730"
"1754181","SAND IPANEMA FEM KIREI BEGE/ROSA        ","7909171320401"
"1754190","SAND IPANEMA FEM KIREI BRONZE/OURO      ","7909171336884"
"1754203","SAND IPANEMA FEM KIREI PTO/OURO         ","7909171320524"
"1754211","SAND IPANEMA FEM KIREI ROSA/OURO        ","7909171320586"
"1754220","SAND IPANEMA FEM KIREI ROSA/ROXO        ","7909171336983"
"1755587","INSET GEL STRAIK MATA FORMIGAS 10G      ","7898180570214"
"203920","FRANGO BONASA CONG KG                   ","20392"
"1755706","TESOURA P/UNHA MUNDIAL CLASS RETA       ","7891060679809"
"1755714","TESOURA P/UNHA MUNDIAL CLASS CURVA      ","7891060679816"
"1755722","IOG POLPA DANONINHO POTAO MGO 400G      ","7891025301431"
"1017292","DESP LIMA P/ ENXADAS E FACOES DE        ","3000010172923"
"1017306","LUVA P/ ELETRODUTO 3/4 POLYFORT         ","3000010173067"
"1017314","MARTELO BORRACHA 60MM PTO               ","3000010173142"
"1017322","PICARETA/ESTREITA                       ","3000010173227"
"1758420","SAND HAVAIANAS HYPE CZA ACO 43/4        ","7891266715547"
"1758438","SAND HAVAIANAS HYPE CZA ACO 45/6        ","7891266715554"
"1758446","SAND HAVAIANAS HYPE CZA GELO 35/6       ","7891266715387"
"1758454","SAND HAVAIANAS HYPE CZA GELO 37/8       ","7891266715394"
"1758462","SAND HAVAIANAS HYPE CZA GELO 39/0       ","7891266715400"
"1758470","SAND HAVAIANAS HYPE CZA GELO 41/2       ","7891266715417"
"1758489","SAND HAVAIANAS HYPE CZA GELO 43/4       ","7891266715424"
"1758497","SAND HAVAIANAS HYPE CZA GELO 45/6       ","7891266715431"
"1758500","SAND HAVAIANAS HYPE VDE LIMA 37/8       ","7890732333506"
"1752006","PIPOCA MICRO MAITA NATURAL 100G         ","7896480658762"
"1752022","ESTOPA PRATIK 150G                      ","7896480649999"
"1752030","PROTETOR FOGAO PRATIK C/8               ","7896480632205"
"1752049","PANO PISO PRATIK ALVEJADO 40X67CM       ","7896480653491"
"1752057","LUVA MUCAMBO PROF VDE 250 9-XG          ","7896098825037"
"1752065","DES AERO NIVEA FEM 48H POWDER CONF 91G  ","4005808910328"
"1752073","ALIM PO APTAMIL 3 LT 800G               ","7795323001065"
"1752081","ALIM PO APTAMIL ACTIVE LT 800G          ","8718117604050"
"1752090","ALIM PO APTAMIL PREMIUM+ 2 LT 800G      ","7795323001270"
"1752090","ALIM PO APTAMIL PREMIUM+ 2 LT 800G      ","7891025107897"
"1754238","SAND IPANEMA FEM KIREI ROSA/VERM        ","7909171320463"
"1754246","SAND IPANEMA FEM KIREI VDE/OURO         ","7909171336938"
"1754254","SAND IPANEMA INF KIREI PTO/OURO         ","7909171354581"
"1754262","SAND IPANEMA INF KIREI ROSA/PTO         ","7909171354536"
"1754270","SAND IPANEMA INF KIREI ROSA/ROSA        ","7909171354680"
"1754289","SAND IPANEMA INF KIREI ROXO/ROSA        ","7909171354482"
"1754297","CATCHUP HELLMANNS PICANTE 380G          ","7891150027831"
"1754300","ESPONJA MULTIUSO LIMPPANO SALVA UNHAS UN","7896021622603"
"1754319","TIRA MANC LIQ OMO ROUP COLOR 1L         ","7891150032941"
"1017330","TRENA 5MT AMARELA                       ","3000010173302"
"1755730","SACO LIXO PRATIK AZUL C/5 100L          ","7896480654054"
"1755749","SACO LIXO PRATIK AZUL C/20 15L          ","7896480654078"
"1017357","DESP CARRO MAO CACAMBA ARO              ","3000010173579"
"1017373","TORNEIRA PLAST PIA 1/2 LONGA            ","3000010173739"
"1755773","SUPORTE COADOR MELLITA CORES 102        ","7891021000925"
"1755781","SUPORTE COADOR MELITTA CORES 103        ","7891021000949"
"1755820","COND PROCAO PERFUMADO 200ML             ","7897520009216"
"1755838","DEO COL PROCAO FEMEA 120ML              ","7897520009315"
"1758519","SAND HAVAIANAS HYPE VDE LIMA 39/0       ","7890732333513"
"1758527","SAND HAVAIANAS HYPE VDE LIMA 41/2       ","7890732333520"
"1758560","BRINQ ROSITA POSTO BBRA REF9147         ","7896460391474"
"1758586","BRINQ ROSITA MASC BATMAN C/CAPA REF9661 ","7896460396615"
"1758594","COOKIES VITALIN S/GL CHI/MAC/CAN 30G    ","7898568900176"
"1758608","SUCO NECTA SHEFA PESSEGO 200ML          ","7896185312457"
"1758616","BATATA FRITA RUFFLES EXTR PEPP ONDA 90G ","7892840244842"
"1758624","BATATA FRITA RUFFLES EXTR CHEDDAR 90G   ","7892840244941"
"1758632","SALGADINHO DORITOS POWER TACO MEX 90G   ","7892840244644"
