"COD","DESCRICAO","EAN"
"1639455","SAB FLOR YPE PODER/REFRESCANCIA ROXO 90G","67896098900491"
"1638580","REFRESCO MID UVA 25G                    ","7891132006052"
"1638599","REFRESCO MARATA UVA 30G                 ","7898286200831"
"1638599","REFRESCO MARATA UVA 30G                 ","7898286200916"
"1638610","REFRIG AQUARIUS FRESH ACEROLA 510ML     ","7894900334012"
"1638629","REFRIG SPRITE 4X350ML                   ","7894900069563"
"1638645","REFRIG H2O LARANJA 500ML                ","7892840812775"
"1638653","REFRIG H2O LIMAO 1,5L                   ","7892840812416"
"1638670","REFRIG H2O UVA 500ML                    ","7892840812812"
"1638688","REGUA LOJINHA 50CM                      ","7897294400486"
"1638696","REP PONTAS VITA CAPILI ABACAT 30ML      ","7896279103633"
"1638700","REP PONTAS ORIGEM ARGAN 30ML            ","78920361"
"1641166","VELA AVE MARIA N8 140G                  ","7898223141517"
"1641182","VENTILADOR FAET EFICIENTE UN            ","7896455211091"
"1641190","VENTILADOR FAET SUPER 30CM              ","7896455210025"
"1641204","VENTILADOR MALLORY ZEFIRO PRETO 40CM    ","7896443127533"
"1641220","VERMOUTH MARTINI ROSE 995ML             ","7891125160556"
"1641239","VINAGRE MARATA ALCOOL 500ML             ","7898286190132"
"1641247","VINAGRE REGINA HORTELA 500ML            ","7896108300530"
"1641255","VINHO DEL GRANO BCO SUAVE 750ML         ","7897015200067"
"1641263","VINHO TRIVENTO TINTO ARGEN MERL 750ML   ","7798039592285"
"1632531","CREM TRA NOVEX 12 ATIVA 150G            ","7896013546276"
"1632540","LIMPEZA PESADA PRATICE FLORAL 500ML     ","7891022851670"
"1632558","LIMPEZA PESADA PRATICE LAVADA 500ML     ","7891022851656"
"1632566","LING REZENDE CALABRESA PC 500G          ","7897562308612"
"1632574","LING CHURRASCO CARRE KG                 ","7898931482346"
"1632582","LING GOSTOSINHA PCT 500G                ","7896378127820"
"1632590","LING REGINA MISTA DEFUMADA 300G         ","7896378405171"
"1632604","LING PERDIGAO NA BRASA FRG 1KG          ","7891515908720"
"1632612","LING PERDIGAO NA BRASA PERNIL 1KG       ","7891515014520"
"1632620","LING PERDIGAO TOSCANA 1KG               ","7891515008307"
"1639463","SAB LIFEBUOY ANTIB 4UN                  ","7891150021723"
"1639480","SAB LIFEBUOY AVEIA 90G                  ","7891150020061"
"1639498","SAB ASEPLYNE ERVA DOC 1L                ","7897161390629"
"1639510","SAB ASEPLYNE ERVA DOC 200ML             ","7897161390612"
"1639528","SAB PROTEX AVEIA 15%DES 6X90G           ","7891024113608"
"1639552","SAB PROTEX BALANCE 130G                 ","7891024113578"
"1639560","SAB NIVEA BAMB AZAL 90G                 ","4005808213351"
"1639579","SAB GRANADO BB ERVA DOC 90G             ","7896512911865"
"1639587","SAB NIVEA CAMO E FLO 90G                ","7890704806502"
"1639595","SAB ALMA FLORES CHAMPA 130G             ","7891134006906"
"1638718","REP PONTAS VITA CAPILI BABOSA 30ML      ","7896279103688"
