"COD","DESCRICAO","EAN"
"1884999","GELATINA DR OETKER UVA 20G              ","7891048050682"
"1885006","GELATINA DR OETKER FRAMBOESA 20G        ","7891048050637"
"1885014","GELATINA DR OETKER LIMAO 20G            ","7891048050644"
"1885022","GELATINA DR OETKER MARACUJA 20G         ","7891048050651"
"1885030","GELATINA DR OETKER ABACAXI 20G          ","7891048050606"
"1883879","SUCO MAGUARY FRUIT SHOOT UVA 275ML      ","7896000595980"
"1883887","SUCO MAGUARY FRUIT SHOOT MORANGO 275ML  ","7896000595973"
"1883909","SUCO MAGUARY FRUIT SHOOT MARACUJA 275ML ","7896000595959"
"1883917","SUCO DAFRUTA MACA/GOIABA 750ML          ","7896005402726"
"1883925","SUCO DAFRUTA MACA/UVA 750ML             ","7896005402740"
"1883933","SUCO DAFRUTA REFRESH CITRUS TP 1L       ","7896005402634"
"1883941","SUCO DAFRUTA REFRESH LARANJA/MGO TP 1L  ","7896005402658"
"1883950","SUCO DAFRUTA REFRESH CITRUS 250ML       ","7896005402665"
"1883968","SUCO DAFRUTA REFRESH LARANJA/MGO 250ML  ","7896005402689"
"1877143","SAND HAVAIANAS TOP BASIC AZ INDIGO 41/2 ","7891224717507"
"1877151","SAND HAVAIANAS TOP BASIC AZ INDIGO 39/0 ","7891224717491"
"1877160","SAND HAVAIANAS TOP BASIC AZ INDIGO 37/8 ","7891224717484"
"1877178","SAND HAVAIANAS TOP BASIC CINZA GELO 43/4","7891224717576"
"1877186","SAND HAVAIANAS TOP BASIC CINZA GELO 41/2","7891224717569"
"1877194","SAND HAVAIANAS TOP BASIC CINZA GELO 39/0","7891224717552"
"1877208","SAND HAVAIANAS TOP BASIC PTO/CZ ACO 41/2","7891224717620"
"1877216","SAND HAVAIANAS TOP BASIC PTO/CZ ACO 39/0","7891224717613"
"1877224","SAND HAVAIANAS TOP BASIC PTO/CZ ACO 37/8","7891224717606"
"1884573","SAND IPANEMA MAIS LOOK PRINT RSA/ROSE   ","7909224314210"
"1884581","SAND GRENDE MORMAII NEOCYCLE PTO/LJA    ","7909224415153"
"1884590","SAND GRENDE MORMAII NEOCYC INF PTO/LJA  ","7909224444610"
"1884603","VENTILADOR MALLORY COLOR PTO/LJA 30CM   ","7896443134531"
"1884611","VENTILADOR MALLORY COLOR PTO/VDE 30CM   ","7896443134616"
"1039920","DESP DISJUNTOR 1P 010A B 03KA 220V      ","3000010399207"
"1039938","DESP DISJUNTOR 1P 020A B 03KA 220       ","3000010399382"
"1039946","DESP DISJUNTOR 1P 025A B 03KA 220V      ","3000010399467"
