"COD","DESCRICAO","EAN"
"1553704","RACAO FROLIC CARNES SELECIONADAS 900G   ","7896029006016"
"1553712","COLEIRA ARTNYLON LUXO C/GUIA CGL-01     ","7898133040542"
"1553739","RACAO CHAMP AD CARNE/CEREAIS 1KG        ","7896029074657"
"1554174","RACAO WHISKAS CARNE/FGO/LEITE 1KG       ","7896029007334"
"1554212","RACAO WHISKAS FILHOTES CARNE/LEITE 1KG  ","7896029041338"
"1554220","RACAO WHISKAS PEIXE/FRUTOS MAR 1KG      ","7896029089637"
"1554255","RACAO WHISKAS PEIXE 1KG                 ","7896029007129"
"1554263","RACAO WHISKAS FILHOTES CARNE/LEITE 500G ","7896029007303"
"1554271","RACAO WHISKAS PEIXE 500G                ","7896029007020"
"1554280","RACAO WHISKAS FRANGO/LEITE 500G         ","7896029007297"
"1554301","RACAO WHISKAS PEIXE/FRUTOS MAR 500G     ","7896029089606"
"1554310","RACAO WHISKAS CARNE 500G                ","7896029007013"
"1554336","RACAO FRISKIES PEIXE 500G               ","7891000069752"
"1554387","RACAO PEDIGREE JUNIOR CARNE MOLHO 150G  ","7896029069820"
"1554417","RACAO PEDIGREE AD EQ NAT CARNE SCH 150G ","7896029069837"
"1554425","RACAO PEDIGREE AD EQ NAT FGO SCH 150G   ","7896029062470"
"1554450","RACAO WHISKAS SALMAO MOLHO SCH 85G      ","7896029046296"
"1554450","RACAO WHISKAS SALMAO MOLHO SCH 85G      ","7896029077658"
"1554468","RACAO WHISKAS CORDEIRO MOLHO SCH 85G    ","7896029046197"
"1554468","RACAO WHISKAS CORDEIRO MOLHO SCH 85G    ","7896029077634"
"1554476","RACAO WHISKAS ATUM MOLHO SCH 85G        ","7896029046562"
"1554476","RACAO WHISKAS ATUM MOLHO SCH 85G        ","7896029077641"
"1554484","RACAO WHISKAS CARNE SCH 85G             ","7896029077603"
"1554514","RACAO WHISKAS FILHOTES CARNE SCH 85G    ","7896029077689"
"1554522","RACAO WHISKAS FILHOTES FGO MOLHO SCH 85G","7896029077696"
"1548000","CERV SKOL BEATS LN 330ML                ","78916265"
"1548077","CERV KRONENBIER S/ALCOOL LN 355ML       ","78909205"
"1548123","CERV ANTARCTICA CRISTAL LN 355ML        ","78909229"
"1548140","CERV CARACU LN 355ML                    ","7891149210305"
"1548158","CERV BRAHMA EXTRA LN 355ML              ","7891149030309"
"1548190","CERV ITAIPAVA PREMIUM LN 355ML          ","7897395010119"
"1548212","CERV STELLA ARTOIS PREMIUM LN 275ML     ","7891149101900"
