"COD","DESCRICAO","EAN"
"1070169","DESP ACIONADOR MANUAL END S/SIRENE AME  ","3000010701697"
"2029421","REFRESCO MID GOIABA 20G                 ","7891132082261"
"2029421","REFRESCO MID GOIABA 20G                 ","7891132082278"
"2029430","REFRESCO MID GRAVIOLA 20G               ","7891132082520"
"2029448","REFRESCO MID MANGA 20G                  ","7891132082483"
"2029448","REFRESCO MID MANGA 20G                  ","7891132082490"
"2029456","REFRESCO MID JABUTICABA 20G             ","7891132082308"
"2018136","BANHEIRA FURACAO PET GATO POP SORTIDAS  ","7898490096855"
"2018144","BRINQ FURACAO PET OSSO MAXBONE N1 P     ","7898490097005"
"2018152","BRINQ FURACAO PET OSSO MAXBONE N2 M     ","7898490097012"
"2018160","BRINQ FURACAO PET OSSO MAXBONE N3 G     ","7898490097029"
"2018179","COMEDOURO FURACAO PET ANT-FORMIGA N3 1L ","7898490097074"
"2018187","BRINQ FURACAO PET BIRD TOY P            ","7898490097159"
"2018195","COMEDOURO FURACAO PET ANT-FORMIG N4 1,9L","7898490097470"
"2018209","BRINQ FURACAO PET ALTERES MACICO        ","7898490097661"
"2018225","GUIA SEDA FURACAO PET C/PEITORAL AJUS N1","7898490097906"
"2030918","TACA NADIR WINDSOR CHAMPAGNE 210ML      ","7891155008330"
"2030926","RALADOR 04 FACES FRATELLI MINI          ","7899110588408"
"2030934","PORTA OLEO ARCAPLAST PRETO              ","7898630254121"
"2030942","PORTA OLEO ARCAPLAST VERMELHO           ","7898630254145"
"2030969","BACIA ARQPLAST 12L                      ","7898280070652"
"2030969","BACIA ARQPLAST 12L                      ","7898919089048"
"2030977","KIT BISNAGA ARCAPLAST WARE C/2          ","7898933991617"
"2031256","BRINQ FURACAO PET OSSO TOPBONE BORR N1 P","7898490091126"
"2031370","ALCOOL GEL LYSOFORM ORIGINAL 100ML      ","7894650939833"
"2031388","ALCOOL GEL LYSOFORM LAVANDA 100ML       ","7894650939840"
"2019760","SAL BR SPICES PARRILLA CHIMICHURRI 1KG  ","7898635640752"
"2019779","CREME RICOTA SABOR E VIDA 200G          ","7897469400884"
"2019787","SAL BR SPICES PARRILLA TRADICIONAL 1,1KG","7898635640738"
"2019795","SAL BR SPICES PARRILLA TRADICIONAL 300G ","7898635640219"
"2019809","SAL BR SPICES PARRILLA P/CARNE 300G     ","7898635640202"
"2019817","SAL BR SPICES PARRILLA FRANGO 330G      ","7898635640233"
"2019825","SAL BR SPICES ATACAMA FINO SCH 250G     ","7898635641377"
"2019833","SAL BR SPICES ROSA FINO SCH 250G        ","7898635641391"
"2019841","SAL BR SPICES ROSA GROSSO SCH 500G      ","7898946900842"
"2029472","CERV ITAIPAVA PREMIUM PURO MALT LT 350ML","7898377661527"
"211230","CUBO BOVINO DIANTEIRO FRIBAL BDJ KG     ","21123"
"211249","CUBO BOVINO FRIBAL KG                   ","21124"
"2029588","BRINQ FURACAO PET OSSO TOPBONE N2 M     ","7898490091133"
"2029600","FUNIL GIGANTE PLASDURAN INDIVIDUAL      ","7897659600704"
"1070207","DESP TORNE IJARDIM 1/2 3/4 CR BICO      ","3000010702076"
"1070240","DESP CORAL ESM FERROLACK BR 3,6L        ","3000010702403"
"1070258","DESP ESM SINT ANT HAMM CZ 2,4L          ","3000010702588"
"1070266","DESP ROLO LA + GARFO 23CM               ","3000010702663"
"2018233","GUIA SEDA FURACAO PET C/PEITORAL AJUS N2","7898490097913"
